model,group,task,metric,alpha_-0.4,alpha_-0.3,alpha_-0.2,alpha_-0.1,alpha_0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,best_alpha,best_value,delta_best_vs_0
llama1b,agieval,agieval_aqua_rat,"acc_norm,none",,0.24015748031496062,0.2637795275590551,0.2559055118110236,0.24015748031496062,0.21653543307086615,0.2047244094488189,0.19291338582677164,,-0.2,0.2637795275590551,0.023622047244094474
llama1b,agieval,agieval_logiqa_en,"acc_norm,none",,0.271889400921659,0.26881720430107525,0.2995391705069124,0.29339477726574503,0.2980030721966206,0.3271889400921659,0.30414746543778803,,0.2,0.3271889400921659,0.03379416282642089
llama1b,agieval,agieval_lsat_ar,"acc_norm,none",,0.2,0.18695652173913044,0.20434782608695654,0.1565217391304348,0.1391304347826087,0.1782608695652174,0.22608695652173913,,0.3,0.22608695652173913,0.06956521739130433
llama1b,agieval,agieval_lsat_lr,"acc_norm,none",,0.23529411764705882,0.23333333333333334,0.25098039215686274,0.2607843137254902,0.23333333333333334,0.21372549019607842,0.20784313725490197,,0.0,0.2607843137254902,0.0
llama1b,agieval,agieval_lsat_rc,"acc_norm,none",,0.22304832713754646,0.21189591078066913,0.20446096654275092,0.1970260223048327,0.1970260223048327,0.20446096654275092,0.1970260223048327,,-0.3,0.22304832713754646,0.026022304832713755
llama1b,agieval,agieval_sat_en,"acc_norm,none",,0.22330097087378642,0.27184466019417475,0.25728155339805825,0.28640776699029125,0.2961165048543689,0.23786407766990292,0.22815533980582525,,0.1,0.2961165048543689,0.009708737864077666
llama1b,agieval,agieval_sat_en_without_passage,"acc_norm,none",,0.24757281553398058,0.23300970873786409,0.2621359223300971,0.2621359223300971,0.2524271844660194,0.22815533980582525,0.19902912621359223,,-0.1,0.2621359223300971,0.0
llama1b,agieval,agieval_sat_math,"acc_norm,none",,0.2636363636363636,0.2545454545454545,0.2545454545454545,0.2772727272727273,0.2909090909090909,0.2409090909090909,0.24545454545454545,,0.1,0.2909090909090909,0.013636363636363613
llama3b,agieval,agieval_aqua_rat,"acc_norm,none",,0.2047244094488189,0.22440944881889763,0.2204724409448819,0.20866141732283464,0.18110236220472442,0.16929133858267717,0.14566929133858267,,-0.2,0.22440944881889763,0.015748031496062992
llama3b,agieval,agieval_logiqa_en,"acc_norm,none",,0.2672811059907834,0.27956989247311825,0.3317972350230415,0.33947772657450076,0.35944700460829493,0.3348694316436252,0.3102918586789555,,0.1,0.35944700460829493,0.01996927803379417
llama3b,agieval,agieval_lsat_ar,"acc_norm,none",,0.1956521739130435,0.16521739130434782,0.2,0.19130434782608696,0.19130434782608696,0.20869565217391303,0.22608695652173913,,0.3,0.22608695652173913,0.03478260869565217
llama3b,agieval,agieval_lsat_lr,"acc_norm,none",,0.2411764705882353,0.23333333333333334,0.27450980392156865,0.2823529411764706,0.2803921568627451,0.27647058823529413,0.21764705882352942,,0.0,0.2823529411764706,0.0
llama3b,agieval,agieval_lsat_rc,"acc_norm,none",,0.1821561338289963,0.23048327137546468,0.3308550185873606,0.36059479553903345,0.32342007434944237,0.31970260223048325,0.17843866171003717,,0.0,0.36059479553903345,0.0
