model,group,task,metric,alpha_-0.4,alpha_-0.3,alpha_-0.2,alpha_-0.1,alpha_0,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.4,best_alpha,best_value,delta_best_vs_0
llama1b,gpqa,gpqa_diamond_zeroshot,"acc_norm,none",,0.2222222222222222,0.2474747474747475,0.25757575757575757,0.29797979797979796,0.26262626262626265,0.25757575757575757,0.2828282828282828,,0.0,0.29797979797979796,0.0
llama1b,gpqa,gpqa_extended_zeroshot,"acc_norm,none",,0.21794871794871795,0.2271062271062271,0.2087912087912088,0.23076923076923078,0.2673992673992674,0.26556776556776557,0.2673992673992674,,0.1,0.2673992673992674,0.03663003663003661
llama1b,gpqa,gpqa_main_zeroshot,"acc_norm,none",,0.31026785714285715,0.29464285714285715,0.26785714285714285,0.25892857142857145,0.26339285714285715,0.25,0.25892857142857145,,-0.3,0.31026785714285715,0.0513392857142857
llama3b,gpqa,gpqa_diamond_zeroshot,"acc_norm,none",,0.23737373737373738,0.2727272727272727,0.32323232323232326,0.30808080808080807,0.3181818181818182,0.31313131313131315,0.29797979797979796,,-0.1,0.32323232323232326,0.015151515151515194
llama3b,gpqa,gpqa_extended_zeroshot,"acc_norm,none",,0.23443223443223443,0.23809523809523808,0.26556776556776557,0.30036630036630035,0.315018315018315,0.31868131868131866,0.27289377289377287,,0.2,0.31868131868131866,0.018315018315018305
llama3b,gpqa,gpqa_main_zeroshot,"acc_norm,none",,0.26785714285714285,0.29910714285714285,0.32142857142857145,0.31026785714285715,0.3169642857142857,0.2857142857142857,0.24553571428571427,,-0.1,0.32142857142857145,0.011160714285714302
llama8b,gpqa,gpqa_diamond_zeroshot,"acc_norm,none",,0.2676767676767677,0.25757575757575757,0.3282828282828283,0.30808080808080807,0.3282828282828283,0.25757575757575757,0.29797979797979796,,-0.1,0.3282828282828283,0.02020202020202022
llama8b,gpqa,gpqa_extended_zeroshot,"acc_norm,none",,0.2673992673992674,0.2948717948717949,0.304029304029304,0.2893772893772894,0.29120879120879123,0.2783882783882784,0.23626373626373626,,-0.1,0.304029304029304,0.0146520146520146
llama8b,gpqa,gpqa_main_zeroshot,"acc_norm,none",,0.24330357142857142,0.28125,0.34598214285714285,0.34375,0.32142857142857145,0.28794642857142855,0.24330357142857142,,-0.1,0.34598214285714285,0.002232142857142849
qwen3_8b,gpqa,gpqa_diamond_zeroshot,"acc_norm,none",0.2676767676767677,0.3383838383838384,0.36363636363636365,0.3888888888888889,0.4090909090909091,0.3939393939393939,0.3333333333333333,0.2878787878787879,0.2828282828282828,0.0,0.4090909090909091,0.0
qwen3_8b,gpqa,gpqa_extended_zeroshot,"acc_norm,none",0.29304029304029305,0.32967032967032966,0.358974358974359,0.36446886446886445,0.36813186813186816,0.3717948717948718,0.3241758241758242,0.2765567765567766,0.2673992673992674,0.1,0.3717948717948718,0.00366300366300365
qwen3_8b,gpqa,gpqa_main_zeroshot,"acc_norm,none",0.25669642857142855,0.32142857142857145,0.34151785714285715,0.35044642857142855,0.35267857142857145,0.37276785714285715,0.34598214285714285,0.28348214285714285,0.26785714285714285,0.1,0.37276785714285715,0.0200892857142857
