model,alpha,GSM8K,MATH,ARC,DROP,BFCL_retry,TruthfulQA,HaluEval,AdvBench,GSM8K_cot,MATH_cot,HellaSwag,IFEval
llama1b,-0.3,0.15,0.16,0.23,0.12,0.01,0.49,0.5,2.7,0.15,0.16,0.5595498904600678,0.25693160813308685
llama1b,-0.2,0.2,0.21,0.35,0.25,0.085,0.58,0.89,2.74,0.31,0.19,0.5872336188010356,0.3364140480591497
llama1b,-0.1,0.17,0.28,0.43,0.24,0.09,0.56,1.21,2.83,0.33,0.28,0.6035650268870743,0.3955637707948244
llama1b,0.0,0.19,0.19,0.48,0.23,0.01,0.7,1.36,2.83,0.37,0.31,0.6166102370045807,0.4417744916820702
llama1b,0.1,0.08,0.12,0.49,0.23,0.045,0.71,1.35,2.75,0.28,0.37,0.6164110734913364,0.4121996303142329
llama1b,0.2,0.01,0.12,0.43,0.13,0.005,0.62,1.11,2.79,0.2,0.14,0.6015733917546305,0.3678373382624769
llama1b,0.3,0.01,0.1,0.08,0.11,0.0,0.62,0.78,2.76,0.03,0.02,0.5550687114120693,0.2735674676524954
llama3b,-0.3,0.01,0.04,0.0,0.02,0.0,0.2,0.04,2.87,0.0,0.0,0.5764787890858395,0.2088724584103512
llama3b,-0.2,0.2,0.19,0.36,0.21,0.345,0.76,1.23,2.85,0.49,0.19,0.6747659828719379,0.3826247689463956
llama3b,-0.1,0.12,0.2,0.67,0.49,0.38,0.94,1.62,2.91,0.7,0.42,0.7090221071499702,0.4565619223659889
llama3b,0.0,0.2,0.21,0.69,0.46,0.095,1.0,1.66,2.97,0.72,0.46,0.7161919936267676,0.5194085027726433
llama3b,0.1,0.15,0.24,0.7,0.46,0.04,1.15,1.69,2.95,0.67,0.45,0.7070304720175263,0.5046210720887245
llama3b,0.2,0.15,0.23,0.59,0.49,0.04,1.01,1.68,2.96,0.57,0.34,0.6671977693686517,0.45471349353049906
llama3b,0.3,0.11,0.1,0.19,0.23,0.0,0.62,1.34,2.95,0.13,0.09,0.5493925512846046,0.3068391866913124
llama8b,-0.3,0.02,0.01,0.0,0.01,0.0,0.48,0.27,2.11,0.0,0.01,0.592212706632145,0.13863216266173753
llama8b,-0.2,0.24,0.21,0.37,0.33,0.465,0.99,1.6,2.97,0.58,0.15,0.7735510854411471,0.37153419593345655
llama8b,-0.1,0.47,0.25,0.38,0.57,0.18,1.23,1.74,2.87,0.83,0.43,0.7891854212308305,0.4066543438077634
llama8b,0.0,0.32,0.26,0.37,0.68,0.15,1.28,1.8,2.86,0.77,0.51,0.7950607448715395,0.46395563770794823
llama8b,0.1,0.29,0.28,0.52,0.65,0.205,1.28,1.69,2.94,0.77,0.5,0.7853017327225652,0.4805914972273567
llama8b,0.2,0.15,0.19,0.71,0.58,0.305,1.11,1.48,2.94,0.65,0.25,0.7515435172276439,0.4399260628465804
llama8b,0.3,0.0,0.07,0.01,0.05,0.0,0.71,0.5,2.87,0.0,0.06,0.5185222067317268,0.20147874306839186
qwen3_8b,-0.4,0.13,0.15,0.7,0.21,0.015,0.6,0.85,2.81,0.02,0.01,0.5333598884684326,0.17005545286506468
qwen3_8b,-0.3,0.45,0.47,0.86,0.43,0.355,0.82,1.24,2.81,0.03,0.02,0.652957578171679,0.18114602587800369
qwen3_8b,-0.2,0.81,0.49,0.9,0.61,0.415,0.87,1.36,2.92,0.66,0.5,0.7230631348336984,0.2698706099815157
qwen3_8b,-0.1,0.84,0.45,0.9,0.63,0.395,0.86,1.39,2.89,0.92,0.72,0.7450707030472018,0.26062846580406657
qwen3_8b,0.0,0.87,0.42,0.89,0.68,0.51,0.93,1.35,2.93,0.96,0.79,0.7487552280422227,0.2476894639556377
qwen3_8b,0.1,0.8,0.38,0.91,0.73,0.58,1.0,1.41,2.86,0.97,0.8,0.73770165305716,0.32717190388170053
qwen3_8b,0.2,0.71,0.35,0.85,0.6,0.27,0.98,1.41,2.83,0.8,0.61,0.6940848436566421,0.2735674676524954
qwen3_8b,0.3,0.25,0.21,0.7,0.27,0.265,0.79,1.09,2.89,0.26,0.19,0.6132244572794264,0.20147874306839186
qwen3_8b,0.4,0.08,0.15,0.27,0.06,0.015,0.77,0.51,2.38,0.08,0.02,0.5201155148376817,0.1645101663585952
