model,alpha,module,present
llama1b,-0.3,standard,True
llama1b,-0.3,bfcl,True
llama1b,-0.3,judge,True
llama1b,-0.3,standard_cot,True
llama1b,-0.3,lm_eval,True
llama1b,-0.3,trait,True
llama1b,-0.2,standard,True
llama1b,-0.2,bfcl,True
llama1b,-0.2,judge,True
llama1b,-0.2,standard_cot,True
llama1b,-0.2,lm_eval,True
llama1b,-0.2,trait,True
llama1b,-0.1,standard,True
llama1b,-0.1,bfcl,True
llama1b,-0.1,judge,True
llama1b,-0.1,standard_cot,True
llama1b,-0.1,lm_eval,True
llama1b,-0.1,trait,True
llama1b,0.0,standard,True
llama1b,0.0,bfcl,True
llama1b,0.0,judge,True
llama1b,0.0,standard_cot,True
llama1b,0.0,lm_eval,True
llama1b,0.0,trait,True
llama1b,0.1,standard,True
llama1b,0.1,bfcl,True
llama1b,0.1,judge,True
llama1b,0.1,standard_cot,True
llama1b,0.1,lm_eval,True
llama1b,0.1,trait,True
llama1b,0.2,standard,True
llama1b,0.2,bfcl,True
llama1b,0.2,judge,True
llama1b,0.2,standard_cot,True
llama1b,0.2,lm_eval,True
llama1b,0.2,trait,True
llama1b,0.3,standard,True
llama1b,0.3,bfcl,True
llama1b,0.3,judge,True
llama1b,0.3,standard_cot,True
llama1b,0.3,lm_eval,True
llama1b,0.3,trait,True
llama3b,-0.3,standard,True
llama3b,-0.3,bfcl,True
llama3b,-0.3,judge,True
llama3b,-0.3,standard_cot,True
llama3b,-0.3,lm_eval,True
llama3b,-0.3,trait,True
llama3b,-0.2,standard,True
llama3b,-0.2,bfcl,True
llama3b,-0.2,judge,True
llama3b,-0.2,standard_cot,True
llama3b,-0.2,lm_eval,True
llama3b,-0.2,trait,True
llama3b,-0.1,standard,True
llama3b,-0.1,bfcl,True
llama3b,-0.1,judge,True
llama3b,-0.1,standard_cot,True
llama3b,-0.1,lm_eval,True
llama3b,-0.1,trait,True
llama3b,0.0,standard,True
llama3b,0.0,bfcl,True
llama3b,0.0,judge,True
llama3b,0.0,standard_cot,True
llama3b,0.0,lm_eval,True
llama3b,0.0,trait,True
llama3b,0.1,standard,True
llama3b,0.1,bfcl,True
llama3b,0.1,judge,True
llama3b,0.1,standard_cot,True
llama3b,0.1,lm_eval,True
llama3b,0.1,trait,True
llama3b,0.2,standard,True
llama3b,0.2,bfcl,True
llama3b,0.2,judge,True
llama3b,0.2,standard_cot,True
llama3b,0.2,lm_eval,True
llama3b,0.2,trait,True
llama3b,0.3,standard,True
llama3b,0.3,bfcl,True
llama3b,0.3,judge,True
llama3b,0.3,standard_cot,True
llama3b,0.3,lm_eval,True
llama3b,0.3,trait,True
qwen3_8b,-0.4,standard,True
qwen3_8b,-0.4,bfcl,True
qwen3_8b,-0.4,judge,True
qwen3_8b,-0.4,standard_cot,False
qwen3_8b,-0.4,lm_eval,False
qwen3_8b,-0.4,trait,True
qwen3_8b,-0.3,standard,True
qwen3_8b,-0.3,bfcl,True
qwen3_8b,-0.3,judge,True
qwen3_8b,-0.3,standard_cot,True
qwen3_8b,-0.3,lm_eval,False
qwen3_8b,-0.3,trait,True
qwen3_8b,-0.2,standard,True
qwen3_8b,-0.2,bfcl,True
qwen3_8b,-0.2,judge,True
qwen3_8b,-0.2,standard_cot,True
qwen3_8b,-0.2,lm_eval,False
qwen3_8b,-0.2,trait,True
qwen3_8b,-0.1,standard,True
qwen3_8b,-0.1,bfcl,True
qwen3_8b,-0.1,judge,True
qwen3_8b,-0.1,standard_cot,True
qwen3_8b,-0.1,lm_eval,False
qwen3_8b,-0.1,trait,True
qwen3_8b,0.0,standard,True
qwen3_8b,0.0,bfcl,True
qwen3_8b,0.0,judge,True
qwen3_8b,0.0,standard_cot,False
qwen3_8b,0.0,lm_eval,False
qwen3_8b,0.0,trait,True
qwen3_8b,0.1,standard,True
qwen3_8b,0.1,bfcl,True
qwen3_8b,0.1,judge,True
qwen3_8b,0.1,standard_cot,True
qwen3_8b,0.1,lm_eval,False
qwen3_8b,0.1,trait,True
qwen3_8b,0.2,standard,True
qwen3_8b,0.2,bfcl,True
qwen3_8b,0.2,judge,True
qwen3_8b,0.2,standard_cot,True
qwen3_8b,0.2,lm_eval,False
qwen3_8b,0.2,trait,True
qwen3_8b,0.3,standard,True
qwen3_8b,0.3,bfcl,True
qwen3_8b,0.3,judge,True
qwen3_8b,0.3,standard_cot,False
qwen3_8b,0.3,lm_eval,False
qwen3_8b,0.3,trait,True
qwen3_8b,0.4,standard,True
qwen3_8b,0.4,bfcl,True
qwen3_8b,0.4,judge,True
qwen3_8b,0.4,standard_cot,True
qwen3_8b,0.4,lm_eval,False
qwen3_8b,0.4,trait,True
