model,alpha,trait,total,high,low,invalid,high_rate,low_rate,invalid_rate,trait_score
llama1b,-0.3,Openness,1000,340,257,403,0.34,0.257,0.403,0.1390284757118928
llama1b,-0.3,Conscientiousness,1000,422,228,350,0.422,0.228,0.35,0.29846153846153844
llama1b,-0.3,Extraversion,1000,224,316,460,0.224,0.316,0.46,-0.17037037037037037
llama1b,-0.3,Agreeableness,1000,241,113,646,0.241,0.113,0.646,0.3615819209039548
llama1b,-0.3,Neuroticism,1000,131,274,595,0.131,0.274,0.595,-0.3530864197530864
llama1b,-0.3,Machiavellianism,1000,115,195,690,0.115,0.195,0.69,-0.25806451612903225
llama1b,-0.3,Narcissism,1000,120,245,635,0.12,0.245,0.635,-0.3424657534246575
llama1b,-0.3,Psychopathy,1000,111,312,577,0.111,0.312,0.577,-0.475177304964539
llama1b,0.1,Openness,1000,509,491,0,0.509,0.491,0.0,0.018
llama1b,0.1,Conscientiousness,1000,516,484,0,0.516,0.484,0.0,0.032
llama1b,0.1,Extraversion,1000,482,518,0,0.482,0.518,0.0,-0.036
llama1b,0.1,Agreeableness,1000,513,487,0,0.513,0.487,0.0,0.026
llama1b,0.1,Neuroticism,1000,431,569,0,0.431,0.569,0.0,-0.138
llama1b,0.1,Machiavellianism,1000,480,520,0,0.48,0.52,0.0,-0.04
llama1b,0.1,Narcissism,1000,429,571,0,0.429,0.571,0.0,-0.142
llama1b,0.1,Psychopathy,1000,461,539,0,0.461,0.539,0.0,-0.078
qwen3_8b,0.2,Openness,1000,589,411,0,0.589,0.411,0.0,0.178
qwen3_8b,0.2,Conscientiousness,1000,651,349,0,0.651,0.349,0.0,0.302
qwen3_8b,0.2,Extraversion,1000,458,542,0,0.458,0.542,0.0,-0.084
qwen3_8b,0.2,Agreeableness,1000,764,236,0,0.764,0.236,0.0,0.528
qwen3_8b,0.2,Neuroticism,1000,228,772,0,0.228,0.772,0.0,-0.544
qwen3_8b,0.2,Machiavellianism,1000,244,756,0,0.244,0.756,0.0,-0.512
qwen3_8b,0.2,Narcissism,1000,146,854,0,0.146,0.854,0.0,-0.708
qwen3_8b,0.2,Psychopathy,1000,147,853,0,0.147,0.853,0.0,-0.706
qwen3_8b,-0.2,Openness,1000,605,395,0,0.605,0.395,0.0,0.21
qwen3_8b,-0.2,Conscientiousness,1000,754,245,1,0.754,0.245,0.001,0.5095095095095095
qwen3_8b,-0.2,Extraversion,1000,377,622,1,0.377,0.622,0.001,-0.24524524524524524
qwen3_8b,-0.2,Agreeableness,1000,787,213,0,0.787,0.213,0.0,0.574
qwen3_8b,-0.2,Neuroticism,1000,236,764,0,0.236,0.764,0.0,-0.528
qwen3_8b,-0.2,Machiavellianism,1000,268,732,0,0.268,0.732,0.0,-0.464
qwen3_8b,-0.2,Narcissism,1000,162,838,0,0.162,0.838,0.0,-0.676
qwen3_8b,-0.2,Psychopathy,1000,63,937,0,0.063,0.937,0.0,-0.874
llama3b,0.2,Openness,1000,623,375,2,0.623,0.375,0.002,0.24849699398797595
llama3b,0.2,Conscientiousness,1000,737,262,1,0.737,0.262,0.001,0.4754754754754755
llama3b,0.2,Extraversion,1000,398,602,0,0.398,0.602,0.0,-0.204
llama3b,0.2,Agreeableness,1000,730,270,0,0.73,0.27,0.0,0.46
llama3b,0.2,Neuroticism,1000,343,656,1,0.343,0.656,0.001,-0.3133133133133133
llama3b,0.2,Machiavellianism,1000,198,796,6,0.198,0.796,0.006,-0.6016096579476862
llama3b,0.2,Narcissism,1000,126,873,1,0.126,0.873,0.001,-0.7477477477477478
llama3b,0.2,Psychopathy,1000,118,696,186,0.118,0.696,0.186,-0.7100737100737101
llama3b,-0.2,Openness,1000,539,461,0,0.539,0.461,0.0,0.078
