model,alpha,trait,total,trait_score,high1_prob,high2_prob,low1_prob,low2_prob
llama1b,-0.3,Openness,1000,0.3772347224797425,0.26160412007561096,0.11563060240413152,0.4336241274337343,0.18914115008652313
llama1b,-0.3,Conscientiousness,1000,0.7114166824742967,0.5098227223190583,0.20159396015523906,0.22025275366572028,0.06833056385998248
llama1b,-0.3,Extraversion,1000,0.3742847243524406,0.24811518845444192,0.12616953589799854,0.42926513253155857,0.1964501431160002
llama1b,-0.3,Agreeableness,1000,0.6416185562846628,0.45558503427668007,0.18603352200798223,0.24310672102677836,0.11527472268855936
llama1b,-0.3,Neuroticism,1000,0.3636311879916822,0.21623787164870925,0.1473933163429732,0.40392732400889947,0.23244148799941716
llama1b,-0.3,Machiavellianism,1000,0.24163565222634154,0.17291619806398323,0.0687194541623582,0.523457954108203,0.2349063936654556
llama1b,-0.3,Narcissism,1000,0.24388154064130665,0.17893542071588453,0.06494611992542203,0.5270550577951336,0.22906340156355998
llama1b,-0.3,Psychopathy,1000,0.178185372239306,0.12529290968213364,0.05289246255717243,0.5582891340917729,0.26352549366892053
llama1b,-0.2,Openness,1000,0.3874871738812268,0.2683692823200214,0.11911789156120516,0.42646526127820994,0.1860475648405627
llama1b,-0.2,Conscientiousness,1000,0.7132081375599317,0.5091817298903217,0.20402640766961,0.21945002813952616,0.06734183430054203
llama1b,-0.2,Extraversion,1000,0.3841909110529379,0.2591517900220644,0.1250391210308737,0.42390357878322293,0.1919055101638391
llama1b,-0.2,Agreeableness,1000,0.6514550800013784,0.4723606947112235,0.17909438529015564,0.24001634759820004,0.1085285724004207
llama1b,-0.2,Neuroticism,1000,0.35223199233439756,0.20728374243839287,0.14494824989600455,0.41101077230581934,0.23675723535978258
llama1b,-0.2,Machiavellianism,1000,0.23946267148719028,0.1702216702665773,0.06924100122061282,0.5271396196820884,0.2333977088307207
llama1b,-0.2,Narcissism,1000,0.2301381291205867,0.1699446129009707,0.06019351621961595,0.5390787845141501,0.23078308636526212
llama1b,-0.2,Psychopathy,1000,0.16559423586465893,0.11686843101192831,0.04872580485273041,0.5678664182760016,0.26653934585933975
llama1b,-0.1,Openness,1000,0.39673106144933457,0.2721627236896588,0.12456833775967528,0.4206893391992993,0.1825795993513664
llama1b,-0.1,Conscientiousness,1000,0.7146016512199835,0.5126896525286422,0.2019119986913404,0.2177412926980755,0.0676570560819417
llama1b,-0.1,Extraversion,1000,0.3891079986698811,0.26190511538172057,0.1272028832881601,0.4268970971501618,0.1839949041799579
llama1b,-0.1,Agreeableness,1000,0.6587610342407901,0.48120207188220515,0.17755896235858548,0.23768330230884302,0.10355566345036633
llama1b,-0.1,Neuroticism,1000,0.3442140327410448,0.2008546565365964,0.14335937620444814,0.4242744465487908,0.23151152071016487
llama1b,-0.1,Machiavellianism,1000,0.24120180103968564,0.17359302592527515,0.06760877511441062,0.5292647854222172,0.2295334135380971
llama1b,-0.1,Narcissism,1000,0.21787919534772734,0.1639159323935437,0.05396326295418365,0.5479798796262768,0.23414092502599534
llama1b,-0.1,Psychopathy,1000,0.15330331044755297,0.1096613052570526,0.04364200519050045,0.5800759319530869,0.26662075759936055
llama1b,0.0,Openness,1000,0.40319425056661157,0.2781312959071544,0.1250629546594565,0.4191542661441814,0.17765148328920669
llama1b,0.0,Conscientiousness,1000,0.7185561786116995,0.5172450792472074,0.20131109936449165,0.21632918733263048,0.06511463405567015
llama1b,0.0,Extraversion,1000,0.38692280162840875,0.2599288672685937,0.12699393435981507,0.43628646998005804,0.17679072839153281
llama1b,0.0,Agreeableness,1000,0.6590463537487283,0.4848972658010589,0.17414908794766895,0.23592032076070618,0.10503332549056578
llama1b,0.0,Neuroticism,1000,0.3408002704141018,0.19850429343962997,0.142295976974472,0.43260822957230405,0.22659150001359368
llama1b,0.0,Machiavellianism,1000,0.24210018787812004,0.1775353623917378,0.06456482548638241,0.5308476112750933,0.22705220084678665
llama1b,0.0,Narcissism,1000,0.20647183316823817,0.15868944315289926,0.04778239001533881,0.5565651543597122,0.23696301247205023
llama1b,0.0,Psychopathy,1000,0.14158310469092072,0.10573694993696031,0.035846154753960226,0.5884115918214634,0.2700053034876159
llama1b,0.1,Openness,1000,0.4123812229632343,0.2870323322457197,0.12534889071751443,0.41721010688478777,0.17040867015197786
llama1b,0.1,Conscientiousness,1000,0.7138512850413635,0.5149117334382334,0.1989395516031308,0.22524144875365856,0.0609072662049777
