model,projection,alpha,aggregate,depth_bucket,n_layers,gini_base_mean,gini_alpha_mean,delta_gini_mean,top_sv_rel_mean,top_sv_abs_delta_mean,top_to_geomean_base_mean
llama31_8b_instruct,down_proj,-0.2,dense,early,11,0.2011553103273565,0.1626915538852865,-0.03846375644207001,0.7390082388386603,-1.4861070676283403,4.601703998136178
llama31_8b_instruct,down_proj,-0.2,dense,late,10,0.19885713011026382,0.16112738400697707,-0.03772974610328674,0.8019361881418934,-0.791613507270813,3.0415470804955524
llama31_8b_instruct,down_proj,-0.2,dense,middle,11,0.20040633461692117,0.1624140590429306,-0.03799227557399056,0.7604008927087886,-1.2428935224359685,4.036713449920998
llama31_8b_instruct,down_proj,-0.15,dense,early,11,0.2011553103273565,0.17239597033370624,-0.028759339993650265,0.7969813930008075,-1.1565540053627708,4.601703998136178
llama31_8b_instruct,down_proj,-0.15,dense,late,10,0.19885713011026382,0.17066441625356674,-0.028192713856697083,0.8473849092635927,-0.6101328134536743,3.0415470804955524
llama31_8b_instruct,down_proj,-0.15,dense,middle,11,0.20040633461692117,0.1720175499265844,-0.028388784690336746,0.8141709222222752,-0.9649335254322399,4.036713449920998
llama31_8b_instruct,down_proj,-0.1,dense,early,11,0.2011553103273565,0.18204171820120377,-0.019113592126152733,0.8595535662021061,-0.8004846139387651,4.601703998136178
llama31_8b_instruct,down_proj,-0.1,dense,late,10,0.19885713011026382,0.18013225197792054,-0.018724878132343293,0.8954426042666406,-0.41812164783477784,3.0415470804955524
llama31_8b_instruct,down_proj,-0.1,dense,middle,11,0.20040633461692117,0.18155115978284317,-0.018855174834078007,0.8718315246999943,-0.6662119952115145,4.036713449920998
llama31_8b_instruct,down_proj,-0.05,dense,early,11,0.2011553103273565,0.19162832335992294,-0.009526986967433582,0.9270935650526005,-0.41574378447099164,4.601703998136178
llama31_8b_instruct,down_proj,-0.05,dense,late,10,0.19885713011026382,0.18953008204698563,-0.009327048063278198,0.9462608312622427,-0.21496212482452393,3.0415470804955524
llama31_8b_instruct,down_proj,-0.05,dense,middle,11,0.20040633461692117,0.1910142736001448,-0.009392061016776344,0.9336711120308355,-0.34513904831626196,4.036713449920998
llama31_8b_instruct,down_proj,0.0,dense,early,11,0.2011553103273565,0.2011553103273565,0.0,1.000000000979245,0.0,4.601703998136178
llama31_8b_instruct,down_proj,0.0,dense,late,10,0.19885713011026382,0.19885713011026382,0.0,0.9999999934287708,-2.384185791015625e-08,3.0415470804955524
llama31_8b_instruct,down_proj,0.0,dense,middle,11,0.20040633461692117,0.20040633461692117,0.0,1.0,0.0,4.036713449920998
llama31_8b_instruct,down_proj,0.05,dense,early,11,0.2011553103273565,0.2106222618709911,0.009466951543634588,1.0787039307363668,0.44927033511075104,4.601703998136178
llama31_8b_instruct,down_proj,0.05,dense,late,10,0.19885713011026382,0.2081127092242241,0.009255579113960266,1.0568300321562265,0.22745816707611083,3.0415470804955524
llama31_8b_instruct,down_proj,0.05,dense,middle,11,0.20040633461692117,0.20972683077508752,0.009320496158166365,1.0711520707599869,0.37105425921353424,4.036713449920998
llama31_8b_instruct,down_proj,0.1,dense,early,11,0.2011553103273565,0.22002879326993768,0.018873482942581177,1.1636713821767923,0.9347980672662909,4.601703998136178
llama31_8b_instruct,down_proj,0.1,dense,late,10,0.19885713011026382,0.21729615032672883,0.018439020216464996,1.116930774090651,0.4681466817855835,3.0415470804955524
llama31_8b_instruct,down_proj,0.1,dense,middle,11,0.20040633461692117,0.21897528930143875,0.0185689546845176,1.1474867388489771,0.7700187509710138,4.036713449920998
llama31_8b_instruct,down_proj,0.15,dense,early,11,0.2011553103273565,0.2293745523149317,0.028219241987575184,1.2554061332406723,1.4595381563360041,4.601703998136178
llama31_8b_instruct,down_proj,0.15,dense,late,10,0.19885713011026382,0.2264068454504013,0.027549715340137483,1.180492689485311,0.7228435754776001,3.0415470804955524
llama31_8b_instruct,down_proj,0.15,dense,middle,11,0.20040633461692117,0.22815133902159604,0.027745004404674877,1.2293908754442149,1.1990460482510654,4.036713449920998
llama31_8b_instruct,down_proj,0.2,dense,early,11,0.2011553103273565,0.238659223372286,0.037503913044929504,1.3544528734926633,2.026688272302801,4.601703998136178
llama31_8b_instruct,down_proj,0.2,dense,late,10,0.19885713011026382,0.2354442447423935,0.03658711463212967,1.2477174095853731,0.9923729658126831,3.0415470804955524
llama31_8b_instruct,down_proj,0.2,dense,middle,11,0.20040633461692117,0.23725463449954987,0.0368482998826287,1.3172809207700464,1.6604584780606357,4.036713449920998
llama31_8b_instruct,up_proj,-0.2,dense,early,11,0.18519931625236163,0.14978088303045792,-0.03541843322190372,0.8064361124739581,-0.7390033115040172,2.976855706556442
llama31_8b_instruct,up_proj,-0.2,dense,late,10,0.19266027361154556,0.1560754120349884,-0.03658486157655716,0.7533106809607226,-1.9366379737854005,4.798570357118391
llama31_8b_instruct,up_proj,-0.2,dense,middle,11,0.1915749595923857,0.15529419752684506,-0.03628076206554066,0.7941100345323556,-0.837880936535922,3.1683208327253314
llama31_8b_instruct,up_proj,-0.15,dense,early,11,0.18519931625236163,0.1587188717993823,-0.026480444452979347,0.8509226773135331,-0.5695722319863059,2.976855706556442
llama31_8b_instruct,up_proj,-0.15,dense,late,10,0.19266027361154556,0.16531966030597686,-0.027340613305568695,0.8079650680071173,-1.519296646118164,4.798570357118391
llama31_8b_instruct,up_proj,-0.15,dense,middle,11,0.1915749595923857,0.16446647589856928,-0.027108483693816444,0.8412189658573144,-0.6461805863813921,3.1683208327253314
llama31_8b_instruct,up_proj,-0.1,dense,early,11,0.18519931625236163,0.16760177233002402,-0.01759754392233762,0.8979144162106862,-0.3903242891485041,2.976855706556442
llama31_8b_instruct,up_proj,-0.1,dense,late,10,0.19266027361154556,0.17449888586997986,-0.018161387741565706,0.8670257456319511,-1.0605104923248292,4.798570357118391
llama31_8b_instruct,up_proj,-0.1,dense,middle,11,0.1915749595923857,0.17357110977172852,-0.01800384982065721,0.8911245260966919,-0.44309173930775037,3.1683208327253314
llama31_8b_instruct,up_proj,-0.05,dense,early,11,0.18519931625236163,0.17642883143641733,-0.008770484815944325,0.9475558125508138,-0.2006741003556685,2.976855706556442
llama31_8b_instruct,up_proj,-0.05,dense,late,10,0.19266027361154556,0.18361257910728454,-0.009047694504261017,0.9308911641098456,-0.5557606458663941,4.798570357118391
llama31_8b_instruct,up_proj,-0.05,dense,middle,11,0.1915749595923857,0.18260745162313635,-0.008967507969249378,0.9439928679822817,-0.22793730822476474,3.1683208327253314
llama31_8b_instruct,up_proj,0.0,dense,early,11,0.18519931625236163,0.18519931625236163,0.0,1.000000003074894,2.1674416281960228e-08,2.976855706556442
llama31_8b_instruct,up_proj,0.0,dense,late,10,0.19266027361154556,0.1926602765917778,2.9802322387695314e-09,0.9999999978909322,-1.430511474609375e-07,4.798570357118391
llama31_8b_instruct,up_proj,0.0,dense,middle,11,0.1915749595923857,0.1915749595923857,0.0,0.9999999842803617,-6.502324884588068e-08,3.1683208327253314
llama31_8b_instruct,up_proj,0.05,dense,early,11,0.18519931625236163,0.19391255216165024,0.00871323590928858,1.0554091868910802,0.21235804124311966,2.976855706556442
llama31_8b_instruct,up_proj,0.05,dense,late,10,0.19266027361154556,0.20164163559675216,0.008981361985206604,1.0748352622113129,0.6124076128005982,4.798570357118391
llama31_8b_instruct,up_proj,0.05,dense,middle,11,0.1915749595923857,0.20047308640046554,0.008898126808079805,1.0593323868249562,0.24148011207580566,3.1683208327253314
llama31_8b_instruct,up_proj,0.1,dense,early,11,0.18519931625236163,0.20256788486784155,0.017368568615479904,1.113955216522224,0.4371007139032537,2.976855706556442
llama31_8b_instruct,up_proj,0.1,dense,late,10,0.19266027361154556,0.21055635511875154,0.017896081507205962,1.1559294394817576,1.2877628326416015,4.798570357118391
llama31_8b_instruct,up_proj,0.1,dense,middle,11,0.1915749595923857,0.20930134437300943,0.017726384780623695,1.1221876373796598,0.49730840596285736,3.1683208327253314
llama31_8b_instruct,up_proj,0.15,dense,early,11,0.18519931625236163,0.21116467226635327,0.025965356013991615,1.1758202428606213,0.6749723607843573,2.976855706556442
llama31_8b_instruct,up_proj,0.15,dense,late,10,0.19266027361154556,0.21940425038337708,0.02674397677183151,1.2438699551387287,2.033112049102783,4.798570357118391
llama31_8b_instruct,up_proj,0.15,dense,middle,11,0.1915749595923857,0.21805929324843668,0.02648433365605094,1.1887750345809778,0.7683378783139315,3.1683208327253314
llama31_8b_instruct,up_proj,0.2,dense,early,11,0.18519931625236163,0.21970234540375796,0.03450302915139632,1.24119723743362,0.9267633611505682,2.976855706556442
llama31_8b_instruct,up_proj,0.2,dense,late,10,0.19266027361154556,0.22818517088890075,0.035524897277355194,1.3393052472370832,2.8563370227813722,4.798570357118391
llama31_8b_instruct,up_proj,0.2,dense,middle,11,0.1915749595923857,0.22674651579423385,0.035171556201848114,1.2593163481822518,1.0554724389856511,3.1683208327253314
llama32_1b_instruct,down_proj,-0.2,dense,early,6,0.1910419041911761,0.15477380901575089,-0.03626809517542521,0.7646165470743013,-1.1918297211329143,3.8644273033615035
llama32_1b_instruct,down_proj,-0.2,dense,late,5,0.2026571661233902,0.16511524021625518,-0.03754192590713501,0.8093917135397902,-0.7670612812042237,2.8861656591774327
llama32_1b_instruct,down_proj,-0.2,dense,middle,5,0.2019294798374176,0.16380628049373627,-0.03812319934368134,0.7411905193727171,-1.5200546264648438,4.566344642341332
llama32_1b_instruct,down_proj,-0.15,dense,early,6,0.1910419041911761,0.16393080105384192,-0.027111103137334187,0.8176303890024789,-0.9236545165379842,3.8644273033615035
llama32_1b_instruct,down_proj,-0.15,dense,late,5,0.2026571661233902,0.1746424227952957,-0.028014743328094484,0.8533202756775111,-0.5903348445892334,2.8861656591774327
llama32_1b_instruct,down_proj,-0.15,dense,middle,5,0.2019294798374176,0.17344136238098146,-0.028488117456436157,0.7987107553138637,-1.1829605579376221,4.566344642341332
llama32_1b_instruct,down_proj,-0.1,dense,early,6,0.1910419041911761,0.17302767932415009,-0.018014224867026012,0.8743543036311876,-0.6365417242050171,3.8644273033615035
llama32_1b_instruct,down_proj,-0.1,dense,late,5,0.2026571661233902,0.18407509326934815,-0.018582072854042054,0.8996426498448757,-0.40394134521484376,2.8861656591774327
llama32_1b_instruct,down_proj,-0.1,dense,middle,5,0.2019294798374176,0.1830066680908203,-0.01892281174659729,0.8607712477481323,-0.818759536743164,4.566344642341332
llama32_1b_instruct,down_proj,-0.05,dense,early,6,0.1910419041911761,0.1820646474758784,-0.008977256715297699,0.9350505131394556,-0.32913994789123535,3.8644273033615035
llama32_1b_instruct,down_proj,-0.05,dense,late,5,0.2026571661233902,0.1934133142232895,-0.009243851900100708,0.9484898925958272,-0.20734953880310059,2.8861656591774327
llama32_1b_instruct,down_proj,-0.05,dense,middle,5,0.2019294798374176,0.19250258803367615,-0.009426891803741455,0.9277363575261509,-0.425238037109375,4.566344642341332
llama32_1b_instruct,down_proj,0.0,dense,early,6,0.1910419041911761,0.1910419041911761,0.0,0.9999999844471884,-7.947285970052083e-08,3.8644273033615035
llama32_1b_instruct,down_proj,0.0,dense,late,5,0.2026571661233902,0.2026571661233902,0.0,0.9999999876040201,-4.76837158203125e-08,2.8861656591774327
llama32_1b_instruct,down_proj,0.0,dense,middle,5,0.2019294798374176,0.2019294798374176,0.0,1.0,0.0,4.566344642341332
llama32_1b_instruct,down_proj,0.05,dense,early,6,0.1910419041911761,0.19995970527331033,0.008917801082134247,1.0695037666796907,0.3524315357208252,3.8644273033615035
llama32_1b_instruct,down_proj,0.05,dense,late,5,0.2026571661233902,0.21180676519870759,0.009149599075317382,1.0543188226672278,0.21869869232177735,2.8861656591774327
llama32_1b_instruct,down_proj,0.05,dense,middle,5,0.2019294798374176,0.21128779649734497,0.009358316659927368,1.077988156194229,0.4595487594604492,4.566344642341332
llama32_1b_instruct,down_proj,0.1,dense,early,6,0.1910419041911761,0.20881834626197815,0.01777644207080205,1.1438844082865514,0.7298206488291422,3.8644273033615035
llama32_1b_instruct,down_proj,0.1,dense,late,5,0.2026571661233902,0.22086229920387268,0.018205133080482484,1.1116002179134292,0.4493705272674561,2.8861656591774327
llama32_1b_instruct,down_proj,0.1,dense,middle,5,0.2019294798374176,0.22057801485061646,0.018648535013198853,1.162161739174357,0.9562184333801269,4.566344642341332
llama32_1b_instruct,down_proj,0.15,dense,early,6,0.1910419041911761,0.2176180506745974,0.026576146483421326,1.2234875559903668,1.13395357131958,3.8644273033615035
llama32_1b_instruct,down_proj,0.15,dense,late,5,0.2026571661233902,0.2298239439725876,0.02716677784919739,1.1720062230617263,0.6926727771759034,2.8861656591774327
llama32_1b_instruct,down_proj,0.15,dense,middle,5,0.2019294798374176,0.22980061769485474,0.027871137857437132,1.2530190793350067,1.4930511474609376,4.566344642341332
llama32_1b_instruct,down_proj,0.2,dense,early,6,0.1910419041911761,0.2263591488202413,0.03531724462906519,1.3086836788038532,1.5667462348937988,3.8644273033615035
llama32_1b_instruct,down_proj,0.2,dense,late,5,0.2026571661233902,0.23869194090366364,0.036034774780273435,1.2357080378730159,0.9493000507354736,2.8861656591774327
llama32_1b_instruct,down_proj,0.2,dense,middle,5,0.2019294798374176,0.23895609080791474,0.03702661097049713,1.3510996613858886,2.0733439445495607,4.566344642341332
llama32_1b_instruct,up_proj,-0.2,dense,early,6,0.17261960605780283,0.139782485862573,-0.03283712019522985,0.7994514010228887,-0.9182295004526774,3.179921065537313
llama32_1b_instruct,up_proj,-0.2,dense,late,5,0.20925288498401642,0.16989490389823914,-0.03935798108577728,0.7638496927122317,-1.7435534954071046,4.388529587959799
llama32_1b_instruct,up_proj,-0.2,dense,middle,5,0.1876968115568161,0.15208700001239778,-0.035609811544418335,0.8118462005476754,-0.7198740005493164,2.848300245516373
llama32_1b_instruct,up_proj,-0.15,dense,early,6,0.17261960605780283,0.14807505905628204,-0.024544547001520794,0.8452764285647545,-0.7097158829371134,3.179921065537313
llama32_1b_instruct,up_proj,-0.15,dense,late,5,0.20925288498401642,0.1798519402742386,-0.029400944709777832,0.816487340358603,-1.3631814956665038,4.388529587959799
llama32_1b_instruct,up_proj,-0.15,dense,middle,5,0.1876968115568161,0.1610860824584961,-0.026610729098320008,0.8552508058278528,-0.5539066791534424,2.848300245516373
llama32_1b_instruct,up_proj,-0.1,dense,early,6,0.17261960605780283,0.15631232659022012,-0.016307279467582703,0.8938580358774454,-0.4877873659133911,3.179921065537313
llama32_1b_instruct,up_proj,-0.1,dense,late,5,0.20925288498401642,0.18973046243190766,-0.019522422552108766,0.8731562514022333,-0.9481507778167725,4.388529587959799
llama32_1b_instruct,up_proj,-0.1,dense,middle,5,0.1876968115568161,0.17002110779285431,-0.01767570376396179,0.9009922886454408,-0.3789378643035889,2.848300245516373
llama32_1b_instruct,up_proj,-0.05,dense,early,6,0.17261960605780283,0.1644939457376798,-0.008125660320123037,0.9453705758651121,-0.2515384753545125,3.179921065537313
llama32_1b_instruct,up_proj,-0.05,dense,late,5,0.20925288498401642,0.1995306760072708,-0.009722208976745606,0.9342013342888842,-0.49502339363098147,4.388529587959799
llama32_1b_instruct,up_proj,-0.05,dense,middle,5,0.1876968115568161,0.17889150381088256,-0.008805307745933532,0.9491974655529904,-0.19447531700134277,2.848300245516373
llama32_1b_instruct,up_proj,0.0,dense,early,6,0.17261960605780283,0.17261960605780283,0.0,1.0000000257656283,1.1920928955078125e-07,3.179921065537313
llama32_1b_instruct,up_proj,0.0,dense,late,5,0.20925288498401642,0.20925288498401642,0.0,0.9999999723569868,-1.430511474609375e-07,4.388529587959799
llama32_1b_instruct,up_proj,0.0,dense,middle,5,0.1876968115568161,0.1876968115568161,0.0,0.9999999879043099,-4.76837158203125e-08,2.848300245516373
llama32_1b_instruct,up_proj,0.05,dense,early,6,0.17261960605780283,0.1806890070438385,0.008069400986035665,1.057944714693803,0.267866055170695,3.179921065537313
llama32_1b_instruct,up_proj,0.05,dense,late,5,0.20925288498401642,0.21889744102954864,0.009644556045532226,1.070965452064567,0.5411192893981933,4.388529587959799
llama32_1b_instruct,up_proj,0.05,dense,middle,5,0.1876968115568161,0.1964365929365158,0.008739781379699708,1.053540912006739,0.20503592491149902,2.848300245516373
llama32_1b_instruct,up_proj,0.1,dense,early,6,0.17261960605780283,0.1887019251783689,0.01608231912056605,1.1194163483540842,0.5531711578369141,3.179921065537313
llama32_1b_instruct,up_proj,0.1,dense,late,5,0.20925288498401642,0.22846477925777436,0.019211894273757933,1.1475505480781767,1.1329803943634034,4.388529587959799
llama32_1b_instruct,up_proj,0.1,dense,middle,5,0.1876968115568161,0.20511042177677155,0.017413610219955446,1.1099688363336322,0.42121009826660155,2.848300245516373
llama32_1b_instruct,up_proj,0.15,dense,early,6,0.17261960605780283,0.19665815184513727,0.024038545787334442,1.1846406903853413,0.8571052948633829,3.179921065537313
llama32_1b_instruct,up_proj,0.15,dense,late,5,0.20925288498401642,0.23795543015003204,0.028702545166015624,1.2302514872682253,1.780722188949585,4.388529587959799
llama32_1b_instruct,up_proj,0.15,dense,middle,5,0.1876968115568161,0.2137179732322693,0.026021161675453187,1.1694407186484317,0.6491327285766602,2.848300245516373
llama32_1b_instruct,up_proj,0.2,dense,early,6,0.17261960605780283,0.20455747346083322,0.031937867403030396,1.2538586527231306,1.1809428532918294,3.179921065537313
llama32_1b_instruct,up_proj,0.2,dense,late,5,0.20925288498401642,0.24736995100975037,0.03811706602573395,1.3196124765038963,2.4900309085845946,4.388529587959799
llama32_1b_instruct,up_proj,0.2,dense,middle,5,0.1876968115568161,0.22225890159606934,0.034562090039253236,1.2321220009095444,0.8894473075866699,2.848300245516373
llama32_3b_instruct,down_proj,-0.2,dense,early,10,0.22271941900253295,0.18127668648958206,-0.0414427325129509,0.7449734218700407,-1.5055625915527344,4.40816843829572
llama32_3b_instruct,down_proj,-0.2,dense,late,9,0.22736688951651254,0.18507849673430124,-0.042288392782211304,0.7902981574049792,-0.9416313436296251,3.2492168424876895
llama32_3b_instruct,down_proj,-0.2,dense,middle,9,0.22242536644140878,0.18108144071367052,-0.041343925727738276,0.7586489928462191,-1.3680342303382025,4.08727539421243
llama32_3b_instruct,down_proj,-0.15,dense,early,10,0.22271941900253295,0.19178517609834672,-0.030934242904186247,0.801817418529264,-1.1704360961914062,4.40816843829572
llama32_3b_instruct,down_proj,-0.15,dense,late,9,0.22736688951651254,0.19581402507093218,-0.03155286444558038,0.8381826380627391,-0.7266493108537462,3.2492168424876895
llama32_3b_instruct,down_proj,-0.15,dense,middle,9,0.22242536644140878,0.19157369765970442,-0.030851668781704374,0.8127559637486061,-1.0623421139187283,4.08727539421243
llama32_3b_instruct,down_proj,-0.1,dense,early,10,0.22271941900253295,0.20219508856534957,-0.02052433043718338,0.8630385562699028,-0.809196949005127,4.40816843829572
llama32_3b_instruct,down_proj,-0.1,dense,late,9,0.22736688951651254,0.20644129978285897,-0.020925589733653598,0.8889747132087581,-0.49858956866794163,3.2492168424876895
llama32_3b_instruct,down_proj,-0.1,dense,middle,9,0.22242536644140878,0.20196209020084804,-0.020463276240560744,0.8708157894481925,-0.7336439556545682,4.08727539421243
llama32_3b_instruct,down_proj,-0.05,dense,early,10,0.22271941900253295,0.21250647604465484,-0.010212942957878113,0.928977104561769,-0.41979069709777833,4.40816843829572
llama32_3b_instruct,down_proj,-0.05,dense,late,9,0.22736688951651254,0.21695924136373732,-0.010407648152775235,0.942851263108028,-0.25665511025322807,3.2492168424876895
llama32_3b_instruct,down_proj,-0.05,dense,middle,9,0.22242536644140878,0.2122461282544666,-0.010179238186942207,0.9331243148549601,-0.38016721937391496,4.08727539421243
llama32_3b_instruct,down_proj,0.0,dense,early,10,0.22271941900253295,0.22271942496299743,5.960464477539063e-09,0.9999999929501733,-4.76837158203125e-08,4.40816843829572
llama32_3b_instruct,down_proj,0.0,dense,late,9,0.22736688951651254,0.22736689117219713,1.655684577094184e-09,1.0,0.0,3.2492168424876895
llama32_3b_instruct,down_proj,0.0,dense,middle,9,0.22242536644140878,0.22242536644140878,0.0,1.0000000051717923,0.0,4.08727539421243
llama32_3b_instruct,down_proj,0.05,dense,early,10,0.22271941900253295,0.2328341245651245,0.010114705562591553,1.0765030030838116,0.4525688648223877,4.40816843829572
llama32_3b_instruct,down_proj,0.05,dense,late,9,0.22736688951651254,0.23766345944669512,0.010296569930182563,1.0606201726237225,0.27227375242445206,3.2492168424876895
llama32_3b_instruct,down_proj,0.05,dense,middle,9,0.22242536644140878,0.23249955144193438,0.01007418500052558,1.0717858126984285,0.4089207649230957,4.08727539421243
llama32_3b_instruct,down_proj,0.1,dense,early,10,0.22271941900253295,0.24285081028938293,0.020131391286849976,1.1589130181517084,0.9405003070831299,4.40816843829572
llama32_3b_instruct,down_proj,0.1,dense,late,9,0.22736688951651254,0.24784822762012482,0.020481338103612263,1.124923020675502,0.5611182848612467,3.2492168424876895
llama32_3b_instruct,down_proj,0.1,dense,middle,9,0.22242536644140878,0.2424684746397866,0.02004310819837782,1.1488511042547556,0.8488213221232096,4.08727539421243
llama32_3b_instruct,down_proj,0.15,dense,early,10,0.22271941900253295,0.25276978611946105,0.0300503671169281,1.2476904957781694,1.4665841102600097,4.40816843829572
llama32_3b_instruct,down_proj,0.15,dense,late,9,0.22736688951651254,0.2579205996460385,0.030553710129525926,1.193132840284063,0.8675447040134006,3.2492168424876895
llama32_3b_instruct,down_proj,0.15,dense,middle,9,0.22242536644140878,0.25233206318484414,0.02990669674343533,1.2315935614438336,1.3221034473843045,4.08727539421243
llama32_3b_instruct,down_proj,0.2,dense,early,10,0.22271941900253295,0.26259134262800216,0.03987192362546921,1.3433321505101563,2.033832550048828,4.40816843829572
llama32_3b_instruct,down_proj,0.2,dense,late,9,0.22736688951651254,0.267880133456654,0.04051324394014147,1.2654874430388199,1.19262515174018,3.2492168424876895
llama32_3b_instruct,down_proj,0.2,dense,middle,9,0.22242536644140878,0.2620902988645766,0.03966493242316776,1.3204416223995237,1.8313595983717177,4.08727539421243
llama32_3b_instruct,up_proj,-0.2,dense,early,10,0.20661654472351074,0.16801752299070358,-0.03859902173280716,0.806143128133353,-0.8019352436065674,2.966850078415825
llama32_3b_instruct,up_proj,-0.2,dense,late,9,0.219859273897277,0.1786783238252004,-0.04118095007207659,0.7424805188559042,-2.298464059829712,5.2772693401173605
llama32_3b_instruct,up_proj,-0.2,dense,middle,9,0.2148875892162323,0.17493724491861132,-0.03995034429762098,0.8027086853856508,-0.8282023270924886,3.0049548645188597
llama32_3b_instruct,up_proj,-0.15,dense,early,10,0.20661654472351074,0.17780423015356064,-0.028812314569950103,0.8507149114703829,-0.6178596496582032,2.966850078415825
llama32_3b_instruct,up_proj,-0.15,dense,late,9,0.219859273897277,0.18911466002464294,-0.03074461387263404,0.7991252560610216,-1.8063894642723932,5.2772693401173605
llama32_3b_instruct,up_proj,-0.15,dense,middle,9,0.2148875892162323,0.18507631454202864,-0.02981127467420366,0.8480365344890048,-0.6379509766896566,3.0049548645188597
llama32_3b_instruct,up_proj,-0.1,dense,early,10,0.20661654472351074,0.18750009387731553,-0.01911645084619522,0.8977853930809111,-0.4232600688934326,2.966850078415825
llama32_3b_instruct,up_proj,-0.1,dense,late,9,0.219859273897277,0.19945730765660605,-0.020401966240670946,0.860608808342993,-1.2632627222273085,5.2772693401173605
llama32_3b_instruct,up_proj,-0.1,dense,middle,9,0.2148875892162323,0.19511481126149496,-0.019772777954737347,0.8959293787978273,-0.4369143380059136,3.0049548645188597
llama32_3b_instruct,up_proj,-0.05,dense,early,10,0.20661654472351074,0.1971044048666954,-0.009512139856815338,0.9474968729803,-0.21752347946166992,2.966850078415825
llama32_3b_instruct,up_proj,-0.05,dense,late,9,0.219859273897277,0.20970567564169565,-0.010153598255581327,0.9273957361946914,-0.6632954809400771,5.2772693401173605
llama32_3b_instruct,up_proj,-0.05,dense,middle,9,0.2148875892162323,0.2050520959827635,-0.009835493233468797,0.9465326299481889,-0.22447986072964138,3.0049548645188597
llama32_3b_instruct,up_proj,0.0,dense,early,10,0.20661654472351074,0.20661654472351074,0.0,1.0000000060084457,2.384185791015625e-08,2.966850078415825
llama32_3b_instruct,up_proj,0.0,dense,late,9,0.219859273897277,0.219859273897277,0.0,0.9999999992467254,-2.1192762586805554e-07,5.2772693401173605
llama32_3b_instruct,up_proj,0.0,dense,middle,9,0.2148875892162323,0.2148875892162323,0.0,0.9999999932898691,-2.6490953233506943e-08,3.0049548645188597
llama32_3b_instruct,up_proj,0.05,dense,early,10,0.20661654472351074,0.21603596359491348,0.00941941887140274,1.0554541398134245,0.22999885082244872,2.966850078415825
llama32_3b_instruct,up_proj,0.05,dense,late,9,0.219859273897277,0.22991779446601868,0.010058520568741692,1.0789906136463663,0.7338960965474447,5.2772693401173605
llama32_3b_instruct,up_proj,0.05,dense,middle,9,0.2148875892162323,0.22462085551685756,0.009733266300625272,1.056493942002717,0.23720971743265787,3.0049548645188597
