model,projection,aggregate,depth_bucket,alpha,gini_base_mean,gini_alpha_mean,delta_gini_mean,top_sv_rel_mean,top_sv_abs_delta_mean,top_to_geomean_base_mean
Llama 3.1 8B Instruct,down_proj,dense,early,-0.2,0.2012,0.1627,-0.0385,0.7390,-1.4861,4.6017
Llama 3.1 8B Instruct,down_proj,dense,late,-0.2,0.1989,0.1611,-0.0377,0.8019,-0.7916,3.0415
Llama 3.1 8B Instruct,down_proj,dense,middle,-0.2,0.2004,0.1624,-0.0380,0.7604,-1.2429,4.0367
Llama 3.1 8B Instruct,down_proj,dense,early,-0.1,0.2012,0.1820,-0.0191,0.8596,-0.8005,4.6017
Llama 3.1 8B Instruct,down_proj,dense,late,-0.1,0.1989,0.1801,-0.0187,0.8954,-0.4181,3.0415
Llama 3.1 8B Instruct,down_proj,dense,middle,-0.1,0.2004,0.1816,-0.0189,0.8718,-0.6662,4.0367
Llama 3.1 8B Instruct,down_proj,dense,early,0.1,0.2012,0.2200,0.0189,1.1637,0.9348,4.6017
Llama 3.1 8B Instruct,down_proj,dense,late,0.1,0.1989,0.2173,0.0184,1.1169,0.4681,3.0415
Llama 3.1 8B Instruct,down_proj,dense,middle,0.1,0.2004,0.2190,0.0186,1.1475,0.7700,4.0367
Llama 3.1 8B Instruct,down_proj,dense,early,0.2,0.2012,0.2387,0.0375,1.3545,2.0267,4.6017
Llama 3.1 8B Instruct,down_proj,dense,late,0.2,0.1989,0.2354,0.0366,1.2477,0.9924,3.0415
Llama 3.1 8B Instruct,down_proj,dense,middle,0.2,0.2004,0.2373,0.0368,1.3173,1.6605,4.0367
Llama 3.1 8B Instruct,up_proj,dense,early,-0.2,0.1852,0.1498,-0.0354,0.8064,-0.7390,2.9769
Llama 3.1 8B Instruct,up_proj,dense,late,-0.2,0.1927,0.1561,-0.0366,0.7533,-1.9366,4.7986
Llama 3.1 8B Instruct,up_proj,dense,middle,-0.2,0.1916,0.1553,-0.0363,0.7941,-0.8379,3.1683
Llama 3.1 8B Instruct,up_proj,dense,early,-0.1,0.1852,0.1676,-0.0176,0.8979,-0.3903,2.9769
Llama 3.1 8B Instruct,up_proj,dense,late,-0.1,0.1927,0.1745,-0.0182,0.8670,-1.0605,4.7986
Llama 3.1 8B Instruct,up_proj,dense,middle,-0.1,0.1916,0.1736,-0.0180,0.8911,-0.4431,3.1683
Llama 3.1 8B Instruct,up_proj,dense,early,0.1,0.1852,0.2026,0.0174,1.1140,0.4371,2.9769
Llama 3.1 8B Instruct,up_proj,dense,late,0.1,0.1927,0.2106,0.0179,1.1559,1.2878,4.7986
Llama 3.1 8B Instruct,up_proj,dense,middle,0.1,0.1916,0.2093,0.0177,1.1222,0.4973,3.1683
Llama 3.1 8B Instruct,up_proj,dense,early,0.2,0.1852,0.2197,0.0345,1.2412,0.9268,2.9769
Llama 3.1 8B Instruct,up_proj,dense,late,0.2,0.1927,0.2282,0.0355,1.3393,2.8563,4.7986
Llama 3.1 8B Instruct,up_proj,dense,middle,0.2,0.1916,0.2267,0.0352,1.2593,1.0555,3.1683
Llama 3.2 1B Instruct,down_proj,dense,early,-0.2,0.1910,0.1548,-0.0363,0.7646,-1.1918,3.8644
Llama 3.2 1B Instruct,down_proj,dense,late,-0.2,0.2027,0.1651,-0.0375,0.8094,-0.7671,2.8862
Llama 3.2 1B Instruct,down_proj,dense,middle,-0.2,0.2019,0.1638,-0.0381,0.7412,-1.5201,4.5663
Llama 3.2 1B Instruct,down_proj,dense,early,-0.1,0.1910,0.1730,-0.0180,0.8744,-0.6365,3.8644
Llama 3.2 1B Instruct,down_proj,dense,late,-0.1,0.2027,0.1841,-0.0186,0.8996,-0.4039,2.8862
Llama 3.2 1B Instruct,down_proj,dense,middle,-0.1,0.2019,0.1830,-0.0189,0.8608,-0.8188,4.5663
Llama 3.2 1B Instruct,down_proj,dense,early,0.1,0.1910,0.2088,0.0178,1.1439,0.7298,3.8644
Llama 3.2 1B Instruct,down_proj,dense,late,0.1,0.2027,0.2209,0.0182,1.1116,0.4494,2.8862
Llama 3.2 1B Instruct,down_proj,dense,middle,0.1,0.2019,0.2206,0.0186,1.1622,0.9562,4.5663
Llama 3.2 1B Instruct,down_proj,dense,early,0.2,0.1910,0.2264,0.0353,1.3087,1.5667,3.8644
Llama 3.2 1B Instruct,down_proj,dense,late,0.2,0.2027,0.2387,0.0360,1.2357,0.9493,2.8862
Llama 3.2 1B Instruct,down_proj,dense,middle,0.2,0.2019,0.2390,0.0370,1.3511,2.0733,4.5663
Llama 3.2 1B Instruct,up_proj,dense,early,-0.2,0.1726,0.1398,-0.0328,0.7995,-0.9182,3.1799
Llama 3.2 1B Instruct,up_proj,dense,late,-0.2,0.2093,0.1699,-0.0394,0.7638,-1.7436,4.3885
Llama 3.2 1B Instruct,up_proj,dense,middle,-0.2,0.1877,0.1521,-0.0356,0.8118,-0.7199,2.8483
Llama 3.2 1B Instruct,up_proj,dense,early,-0.1,0.1726,0.1563,-0.0163,0.8939,-0.4878,3.1799
Llama 3.2 1B Instruct,up_proj,dense,late,-0.1,0.2093,0.1897,-0.0195,0.8732,-0.9482,4.3885
Llama 3.2 1B Instruct,up_proj,dense,middle,-0.1,0.1877,0.1700,-0.0177,0.9010,-0.3789,2.8483
Llama 3.2 1B Instruct,up_proj,dense,early,0.1,0.1726,0.1887,0.0161,1.1194,0.5532,3.1799
Llama 3.2 1B Instruct,up_proj,dense,late,0.1,0.2093,0.2285,0.0192,1.1476,1.1330,4.3885
Llama 3.2 1B Instruct,up_proj,dense,middle,0.1,0.1877,0.2051,0.0174,1.1100,0.4212,2.8483
Llama 3.2 1B Instruct,up_proj,dense,early,0.2,0.1726,0.2046,0.0319,1.2539,1.1809,3.1799
Llama 3.2 1B Instruct,up_proj,dense,late,0.2,0.2093,0.2474,0.0381,1.3196,2.4900,4.3885
Llama 3.2 1B Instruct,up_proj,dense,middle,0.2,0.1877,0.2223,0.0346,1.2321,0.8894,2.8483
Llama 3.2 3B Instruct,down_proj,dense,early,-0.2,0.2227,0.1813,-0.0414,0.7450,-1.5056,4.4082
Llama 3.2 3B Instruct,down_proj,dense,late,-0.2,0.2274,0.1851,-0.0423,0.7903,-0.9416,3.2492
Llama 3.2 3B Instruct,down_proj,dense,middle,-0.2,0.2224,0.1811,-0.0413,0.7586,-1.3680,4.0873
Llama 3.2 3B Instruct,down_proj,dense,early,-0.1,0.2227,0.2022,-0.0205,0.8630,-0.8092,4.4082
Llama 3.2 3B Instruct,down_proj,dense,late,-0.1,0.2274,0.2064,-0.0209,0.8890,-0.4986,3.2492
Llama 3.2 3B Instruct,down_proj,dense,middle,-0.1,0.2224,0.2020,-0.0205,0.8708,-0.7336,4.0873
Llama 3.2 3B Instruct,down_proj,dense,early,0.1,0.2227,0.2429,0.0201,1.1589,0.9405,4.4082
Llama 3.2 3B Instruct,down_proj,dense,late,0.1,0.2274,0.2478,0.0205,1.1249,0.5611,3.2492
Llama 3.2 3B Instruct,down_proj,dense,middle,0.1,0.2224,0.2425,0.0200,1.1489,0.8488,4.0873
Llama 3.2 3B Instruct,down_proj,dense,early,0.2,0.2227,0.2626,0.0399,1.3433,2.0338,4.4082
Llama 3.2 3B Instruct,down_proj,dense,late,0.2,0.2274,0.2679,0.0405,1.2655,1.1926,3.2492
Llama 3.2 3B Instruct,down_proj,dense,middle,0.2,0.2224,0.2621,0.0397,1.3204,1.8314,4.0873
Llama 3.2 3B Instruct,up_proj,dense,early,-0.2,0.2066,0.1680,-0.0386,0.8061,-0.8019,2.9669
Llama 3.2 3B Instruct,up_proj,dense,late,-0.2,0.2199,0.1787,-0.0412,0.7425,-2.2985,5.2773
Llama 3.2 3B Instruct,up_proj,dense,middle,-0.2,0.2149,0.1749,-0.0400,0.8027,-0.8282,3.0050
Llama 3.2 3B Instruct,up_proj,dense,early,-0.1,0.2066,0.1875,-0.0191,0.8978,-0.4233,2.9669
Llama 3.2 3B Instruct,up_proj,dense,late,-0.1,0.2199,0.1995,-0.0204,0.8606,-1.2633,5.2773
Llama 3.2 3B Instruct,up_proj,dense,middle,-0.1,0.2149,0.1951,-0.0198,0.8959,-0.4369,3.0050
Llama 3.2 3B Instruct,up_proj,dense,early,0.1,0.2066,0.2254,0.0187,1.1140,0.4732,2.9669
Llama 3.2 3B Instruct,up_proj,dense,late,0.1,0.2199,0.2399,0.0200,1.1650,1.5466,5.2773
Llama 3.2 3B Instruct,up_proj,dense,middle,0.1,0.2149,0.2343,0.0194,1.1162,0.4879,3.0050
Llama 3.2 3B Instruct,up_proj,dense,early,0.2,0.2066,0.2437,0.0371,1.2413,1.0024,2.9669
Llama 3.2 3B Instruct,up_proj,dense,late,0.2,0.2199,0.2595,0.0397,1.3609,3.4459,5.2773
Llama 3.2 3B Instruct,up_proj,dense,middle,0.2,0.2149,0.2532,0.0383,1.2459,1.0327,3.0050
Qwen3 8B,down_proj,dense,early,-0.2,0.2310,0.1883,-0.0427,0.7100,-4.0715,6.8302
Qwen3 8B,down_proj,dense,late,-0.2,0.2037,0.1658,-0.0379,0.7682,-2.5910,3.9079
Qwen3 8B,down_proj,dense,middle,-0.2,0.2124,0.1719,-0.0404,0.7514,-2.7072,4.2140
Qwen3 8B,down_proj,dense,early,-0.1,0.2310,0.2099,-0.0211,0.8414,-2.2476,6.8302
Qwen3 8B,down_proj,dense,late,-0.1,0.2037,0.1849,-0.0188,0.8762,-1.3902,3.9079
Qwen3 8B,down_proj,dense,middle,-0.1,0.2124,0.1923,-0.0201,0.8668,-1.4518,4.2140
Qwen3 8B,down_proj,dense,early,0.1,0.2310,0.2517,0.0207,1.1921,2.7810,6.8302
Qwen3 8B,down_proj,dense,late,0.1,0.2037,0.2221,0.0184,1.1420,1.6117,3.9079
Qwen3 8B,down_proj,dense,middle,0.1,0.2124,0.2321,0.0198,1.1539,1.6793,4.2140
Qwen3 8B,down_proj,dense,early,0.2,0.2310,0.2719,0.0409,1.4258,6.2363,6.8302
Qwen3 8B,down_proj,dense,late,0.2,0.2037,0.2401,0.0364,1.3050,3.4827,3.9079
Qwen3 8B,down_proj,dense,middle,0.2,0.2124,0.2516,0.0392,1.3317,3.6222,4.2140
Qwen3 8B,up_proj,dense,early,-0.2,0.2473,0.2024,-0.0448,0.7732,-1.9402,4.4389
Qwen3 8B,up_proj,dense,late,-0.2,0.1994,0.1618,-0.0376,0.7553,-3.1613,4.3108
Qwen3 8B,up_proj,dense,middle,-0.2,0.2064,0.1674,-0.0391,0.7973,-1.6973,3.1356
Qwen3 8B,up_proj,dense,early,-0.1,0.2473,0.2252,-0.0221,0.8780,-1.0513,4.4389
Qwen3 8B,up_proj,dense,late,-0.1,0.1994,0.1808,-0.0186,0.8687,-1.7058,4.3108
Qwen3 8B,up_proj,dense,middle,-0.1,0.2064,0.1871,-0.0194,0.8928,-0.8981,3.1356
Qwen3 8B,up_proj,dense,early,0.1,0.2473,0.2687,0.0215,1.1424,1.2477,4.4389
Qwen3 8B,up_proj,dense,late,0.1,0.1994,0.2177,0.0183,1.1521,2.0020,4.3108
Qwen3 8B,up_proj,dense,middle,0.1,0.2064,0.2255,0.0190,1.1202,1.0096,3.1356
Qwen3 8B,up_proj,dense,early,0.2,0.2473,0.2896,0.0423,1.3094,2.7339,4.4389
Qwen3 8B,up_proj,dense,late,0.2,0.1994,0.2357,0.0363,1.3285,4.3549,4.3108
Qwen3 8B,up_proj,dense,middle,0.2,0.2064,0.2442,0.0377,1.2550,2.1447,3.1356
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,early,-0.2,0.2348,0.1903,-0.0445,0.7746,-0.7354,3.7861
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,late,-0.2,0.2269,0.1836,-0.0433,0.7949,-0.6873,3.3018
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,middle,-0.2,0.2304,0.1862,-0.0442,0.7778,-0.7439,3.6044
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,early,-0.1,0.2348,0.2127,-0.0221,0.8798,-0.3927,3.7861
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,late,-0.1,0.2269,0.2054,-0.0215,0.8913,-0.3656,3.3018
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,middle,-0.1,0.2304,0.2085,-0.0219,0.8817,-0.3966,3.6044
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,early,0.1,0.2348,0.2566,0.0218,1.1373,0.4504,3.7861
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,late,0.1,0.2269,0.2480,0.0211,1.1229,0.4159,3.3018
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,middle,0.1,0.2304,0.2520,0.0216,1.1346,0.4531,3.6044
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,early,0.2,0.2348,0.2780,0.0432,1.2944,0.9679,3.7861
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,late,0.2,0.2269,0.2688,0.0419,1.2618,0.8894,3.3018
Qwen3 30B-A3B MoE,down_proj,moe_expert_mean_max,middle,0.2,0.2304,0.2733,0.0429,1.2879,0.9709,3.6044
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,early,-0.2,0.2328,0.1892,-0.0436,0.8225,-0.4107,2.8082
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,late,-0.2,0.2200,0.1781,-0.0419,0.8074,-0.6171,3.0488
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,middle,-0.2,0.2221,0.1798,-0.0422,0.8301,-0.4065,2.5786
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,early,-0.1,0.2328,0.2112,-0.0216,0.9066,-0.2162,2.8082
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,late,-0.1,0.2200,0.1993,-0.0208,0.8982,-0.3274,3.0488
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,middle,-0.1,0.2221,0.2011,-0.0209,0.9110,-0.2132,2.5786
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,early,0.1,0.2328,0.2540,0.0212,1.1037,0.2406,2.8082
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,late,0.1,0.2200,0.2405,0.0204,1.1141,0.3705,3.0488
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,middle,0.1,0.2221,0.2426,0.0206,1.0980,0.2354,2.5786
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,early,0.2,0.2328,0.2748,0.0420,1.2190,0.5088,2.8082
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,late,0.2,0.2200,0.2605,0.0405,1.2421,0.7901,3.0488
Qwen3 30B-A3B MoE,up_proj,moe_expert_mean_max,middle,0.2,0.2221,0.2628,0.0408,1.2060,0.4953,2.5786
