model,layer,projection,aggregate,alpha,gini_base_mean,delta_gini_mean,top_sv_rel_mean,top_sv_abs_delta_mean,top_to_geomean_base_mean
Qwen3 8B,1,down_proj,dense,0.2,0.3209,0.0512,1.7984,19.6545,18.8111
Qwen3 8B,2,down_proj,dense,0.2,0.3513,0.0542,1.7278,13.3616,15.3986
Llama 3.2 3B Instruct,27,up_proj,dense,0.2,0.2506,0.0492,1.6784,13.2868,13.3201
Llama 3.1 8B Instruct,31,up_proj,dense,0.2,0.2143,0.0427,1.6535,12.3583,12.3603
Qwen3 8B,2,up_proj,dense,0.2,0.3910,0.0593,1.6443,8.2783,12.0206
Llama 3.2 1B Instruct,15,up_proj,dense,0.2,0.2224,0.0443,1.5488,7.4058,8.9111
Qwen3 8B,35,up_proj,dense,0.2,0.1956,0.0368,1.5409,13.0995,8.6867
Llama 3.2 3B Instruct,26,up_proj,dense,0.2,0.2263,0.0417,1.5278,6.2346,8.3250
Qwen3 8B,1,up_proj,dense,0.2,0.3669,0.0562,1.5122,4.2561,7.9082
Qwen3 8B,34,down_proj,dense,0.2,0.1931,0.0359,1.5104,10.9520,7.8602
Llama 3.1 8B Instruct,30,up_proj,dense,0.2,0.1958,0.0371,1.5033,5.3734,7.6784
Qwen3 8B,3,down_proj,dense,0.2,0.2611,0.0451,1.4906,6.1539,7.3577
