trait,heldout_model,rmse_delta_trait,n_test
Openness,llama32_1b_instruct,0.022539627805786704,8
Openness,llama32_3b_instruct,0.018099419172521024,8
Openness,llama31_8b_instruct,0.01595390873032921,8
Openness,qwen3_8b,0.010381279084204692,8
Conscientiousness,llama32_1b_instruct,0.002281042752201387,8
Conscientiousness,llama32_3b_instruct,0.01198070895541526,8
Conscientiousness,llama31_8b_instruct,0.01715727821535171,8
Conscientiousness,qwen3_8b,0.020282216704193588,8
Extraversion,llama32_1b_instruct,0.0071874801481148585,8
Extraversion,llama32_3b_instruct,0.01504414080027116,8
Extraversion,llama31_8b_instruct,0.022896300135791636,8
Extraversion,qwen3_8b,0.009846962868329248,8
Agreeableness,llama32_1b_instruct,0.0043260830870646624,8
Agreeableness,llama32_3b_instruct,0.011199602685208894,8
Agreeableness,llama31_8b_instruct,0.01309433119640172,8
Agreeableness,qwen3_8b,0.004554266828304232,8
Neuroticism,llama32_1b_instruct,0.008676540487249522,8
Neuroticism,llama32_3b_instruct,0.007117520559580197,8
Neuroticism,llama31_8b_instruct,0.021377655365717826,8
Neuroticism,qwen3_8b,0.02771928787558067,8
Machiavellianism,llama32_1b_instruct,0.013179733315637163,8
Machiavellianism,llama32_3b_instruct,0.024313265109241502,8
Machiavellianism,llama31_8b_instruct,0.027748366592021973,8
Machiavellianism,qwen3_8b,0.029349665816362138,8
Narcissism,llama32_1b_instruct,0.011932480761479042,8
Narcissism,llama32_3b_instruct,0.012789469784823508,8
Narcissism,llama31_8b_instruct,0.03391322725912093,8
Narcissism,qwen3_8b,0.022695411950990587,8
Psychopathy,llama32_1b_instruct,0.013403580626495947,8
Psychopathy,llama32_3b_instruct,0.01070297172448068,8
Psychopathy,llama31_8b_instruct,0.024027675316821623,8
Psychopathy,qwen3_8b,0.01813378352310332,8
