trait_model,trait,term,beta_raw,se,r2,n
llama32_1b_instruct,Openness,intercept,-0.007307207463230093,0.003995284813828052,0.9016189148403437,8
llama32_1b_instruct,Openness,Factual Knowledge,-0.3512587687055304,0.11191198488180143,0.9016189148403437,8
llama32_1b_instruct,Openness,Language Understanding,-0.4909120618158065,0.48616604588049095,0.9016189148403437,8
llama32_1b_instruct,Openness,Deductive Reasoning,0.1970196458212231,0.31106697398667676,0.9016189148403437,8
llama32_3b_instruct,Openness,intercept,-0.0065041909045997544,0.011972607548687593,0.7860412665821572,8
llama32_3b_instruct,Openness,Factual Knowledge,0.7142441094674582,0.25328120552043887,0.7860412665821572,8
llama32_3b_instruct,Openness,Language Understanding,0.3885623597409551,0.4704974172809883,0.7860412665821572,8
llama32_3b_instruct,Openness,Deductive Reasoning,-1.8872082203756793,0.7377259598383695,0.7860412665821572,8
llama31_8b_instruct,Openness,intercept,0.013562314112550765,0.005188729523098255,0.9115623659386521,8
llama31_8b_instruct,Openness,Factual Knowledge,0.3719151846250761,0.09115267303349156,0.9115623659386521,8
llama31_8b_instruct,Openness,Language Understanding,-0.1901665624170094,0.05915069648402609,0.9115623659386521,8
llama31_8b_instruct,Openness,Deductive Reasoning,-0.18142144345525102,0.12768083438077032,0.9115623659386521,8
qwen3_8b,Openness,intercept,0.0026710677874918595,0.0014466863937449457,0.765601441047821,8
qwen3_8b,Openness,Factual Knowledge,0.11594129307999691,0.041964219923258786,0.765601441047821,8
qwen3_8b,Openness,Language Understanding,-0.05205542376901595,0.03860308560566892,0.765601441047821,8
qwen3_8b,Openness,Deductive Reasoning,0.017139728827294302,0.06404285513201324,0.765601441047821,8
llama32_1b_instruct,Conscientiousness,intercept,-0.003192992971568487,0.0008148477585773486,0.8896339766215906,8
llama32_1b_instruct,Conscientiousness,Factual Knowledge,0.023274438800750377,0.02282471320273756,0.8896339766215906,8
llama32_1b_instruct,Conscientiousness,Language Understanding,0.07948641502599428,0.09915471142658314,0.8896339766215906,8
llama32_1b_instruct,Conscientiousness,Deductive Reasoning,0.19069819954770667,0.0634428428339304,0.8896339766215906,8
llama32_3b_instruct,Conscientiousness,intercept,0.0009717182782010871,0.0008695820506369657,0.98703386927651,8
llama32_3b_instruct,Conscientiousness,Factual Knowledge,-0.02792254858880741,0.018396058601988428,0.98703386927651,8
llama32_3b_instruct,Conscientiousness,Language Understanding,0.054828959941044975,0.03417268187191573,0.98703386927651,8
llama32_3b_instruct,Conscientiousness,Deductive Reasoning,0.29070149137434614,0.053581749034669904,0.98703386927651,8
llama31_8b_instruct,Conscientiousness,intercept,0.002413964487247243,0.002176139817040458,0.7759160684506675,8
llama31_8b_instruct,Conscientiousness,Factual Knowledge,0.00032146406804714825,0.03822919663374691,0.7759160684506675,8
llama31_8b_instruct,Conscientiousness,Language Understanding,0.036630075443279085,0.02480764997511448,0.7759160684506675,8
llama31_8b_instruct,Conscientiousness,Deductive Reasoning,-0.06252238036178712,0.05354901355564088,0.7759160684506675,8
qwen3_8b,Conscientiousness,intercept,-0.0009819205750895166,0.0034291852876010714,0.9359989118852289,8
qwen3_8b,Conscientiousness,Factual Knowledge,0.47602304266862566,0.09947082255607724,0.9359989118852289,8
qwen3_8b,Conscientiousness,Language Understanding,-0.21835825282790738,0.09150368302855759,0.9359989118852289,8
qwen3_8b,Conscientiousness,Deductive Reasoning,-0.250930348586214,0.1518054068554302,0.9359989118852289,8
llama32_1b_instruct,Extraversion,intercept,0.0007431024658563131,0.0023103359149244194,0.864515575213209,8
llama32_1b_instruct,Extraversion,Factual Knowledge,-0.15070134532080726,0.06471485514324889,0.864515575213209,8
llama32_1b_instruct,Extraversion,Language Understanding,-0.14238193601968113,0.2811331178510648,0.864515575213209,8
llama32_1b_instruct,Extraversion,Deductive Reasoning,-0.1253373858888423,0.1798793416331418,0.864515575213209,8
llama32_3b_instruct,Extraversion,intercept,-0.0019892356981306113,0.009653702394915985,0.7380380696315332,8
llama32_3b_instruct,Extraversion,Factual Knowledge,0.3886089056596272,0.20422463280255893,0.7380380696315332,8
llama32_3b_instruct,Extraversion,Language Understanding,0.5271527068308077,0.3793694920289231,0.7380380696315332,8
llama32_3b_instruct,Extraversion,Deductive Reasoning,-1.6793205994166993,0.5948400827741183,0.7380380696315332,8
llama31_8b_instruct,Extraversion,intercept,-0.004008380444792776,0.0015023694602840417,0.8420491731991362,8
llama31_8b_instruct,Extraversion,Factual Knowledge,-0.03505091161771196,0.026392779114645944,0.8420491731991362,8
llama31_8b_instruct,Extraversion,Language Understanding,0.05653789915544142,0.017126774397573208,0.8420491731991362,8
llama31_8b_instruct,Extraversion,Deductive Reasoning,0.10390548085185107,0.036969316936511586,0.8420491731991362,8
qwen3_8b,Extraversion,intercept,0.0012463168579638978,0.0034791557412495694,0.7662084181501463,8
qwen3_8b,Extraversion,Factual Knowledge,-0.2990177827567875,0.100920321988461,0.7662084181501463,8
qwen3_8b,Extraversion,Language Understanding,0.11147330723745855,0.09283708445424846,0.7662084181501463,8
qwen3_8b,Extraversion,Deductive Reasoning,0.03648863389214474,0.15401753143040978,0.7662084181501463,8
llama32_1b_instruct,Agreeableness,intercept,-0.0031263911925134384,0.0012717930279890304,0.9455688240093827,8
llama32_1b_instruct,Agreeableness,Factual Knowledge,0.09000091606640853,0.03562421423085417,0.9455688240093827,8
llama32_1b_instruct,Agreeableness,Language Understanding,0.028102361695973382,0.15475807518297588,0.9455688240093827,8
llama32_1b_instruct,Agreeableness,Deductive Reasoning,0.3917756480438048,0.0990199265355621,0.9455688240093827,8
llama32_3b_instruct,Agreeableness,intercept,-0.0012203371843612643,0.00393271157846893,0.8310965040249606,8
llama32_3b_instruct,Agreeableness,Factual Knowledge,-0.1374422363863264,0.083196741019711,0.8310965040249606,8
llama32_3b_instruct,Agreeableness,Language Understanding,-0.13692983689533023,0.1545470051579114,0.8310965040249606,8
llama32_3b_instruct,Agreeableness,Deductive Reasoning,0.7849749666824314,0.2423251085609575,0.8310965040249606,8
llama31_8b_instruct,Agreeableness,intercept,0.007348823520528431,0.003929094590309189,0.8703423579386033,8
llama31_8b_instruct,Agreeableness,Factual Knowledge,0.22869026638305048,0.06902411715888779,0.8703423579386033,8
llama31_8b_instruct,Agreeableness,Language Understanding,-0.11622473869366716,0.044791057335675795,0.8703423579386033,8
llama31_8b_instruct,Agreeableness,Deductive Reasoning,-0.10781444955990253,0.09668456862482487,0.8703423579386033,8
qwen3_8b,Agreeableness,intercept,0.0014227149608794197,0.00272725858007769,0.7986789657414572,8
qwen3_8b,Agreeableness,Factual Knowledge,0.2467007527981884,0.07910994347967304,0.7986789657414572,8
qwen3_8b,Agreeableness,Language Understanding,-0.009506346334283544,0.07277361347333952,0.7986789657414572,8
qwen3_8b,Agreeableness,Deductive Reasoning,-0.033305774743850936,0.12073205838296484,0.7986789657414572,8
llama32_1b_instruct,Neuroticism,intercept,0.005639615402757756,0.0015254532016867725,0.9070084263662815,8
llama32_1b_instruct,Neuroticism,Factual Knowledge,-0.03686867247771897,0.04272949329024054,0.9070084263662815,8
llama32_1b_instruct,Neuroticism,Language Understanding,0.08275003949484877,0.18562470156644784,0.9070084263662815,8
llama32_1b_instruct,Neuroticism,Deductive Reasoning,-0.5355160660471494,0.11876953296662124,0.9070084263662815,8
llama32_3b_instruct,Neuroticism,intercept,0.004310853834743838,0.0032880792630819765,0.8001210375420509,8
llama32_3b_instruct,Neuroticism,Factual Knowledge,-0.16743213424795106,0.06955950708427334,0.8001210375420509,8
llama32_3b_instruct,Neuroticism,Language Understanding,0.03487099145105699,0.12921435825939412,0.8001210375420509,8
llama32_3b_instruct,Neuroticism,Deductive Reasoning,0.013046965028499141,0.2026042715020496,0.8001210375420509,8
llama31_8b_instruct,Neuroticism,intercept,0.011413526295199747,0.0024329389700545835,0.9754575059810465,8
llama31_8b_instruct,Neuroticism,Factual Knowledge,0.18063410388890916,0.042740499280333306,0.9754575059810465,8
llama31_8b_instruct,Neuroticism,Language Understanding,-0.28233509069068696,0.02773511973234003,0.9754575059810465,8
llama31_8b_instruct,Neuroticism,Deductive Reasoning,-0.39059800386298227,0.05986815776602175,0.9754575059810465,8
qwen3_8b,Neuroticism,intercept,0.000862483713376154,0.001815087443888464,0.9456505942138286,8
qwen3_8b,Neuroticism,Factual Knowledge,0.08618149047815254,0.05265047698285733,0.9456505942138286,8
qwen3_8b,Neuroticism,Language Understanding,0.20924283169209298,0.048433424328282106,0.9456505942138286,8
qwen3_8b,Neuroticism,Deductive Reasoning,-0.10766093198794319,0.08035147266435072,0.9456505942138286,8
llama32_1b_instruct,Machiavellianism,intercept,-0.0006193419945523555,0.001871908671283609,0.8738869349035331,8
llama32_1b_instruct,Machiavellianism,Factual Knowledge,-0.13144339149932252,0.05243406282219063,0.8738869349035331,8
llama32_1b_instruct,Machiavellianism,Language Understanding,-0.039493339070658204,0.2277831191952972,0.8738869349035331,8
llama32_1b_instruct,Machiavellianism,Deductive Reasoning,-0.15006954084285803,0.1457440440642071,0.8738869349035331,8
llama32_3b_instruct,Machiavellianism,intercept,-0.012571054252836451,0.013834093123277526,0.8248217292576044,8
llama32_3b_instruct,Machiavellianism,Factual Knowledge,0.9838945349744914,0.2926610405708851,0.8248217292576044,8
llama32_3b_instruct,Machiavellianism,Language Understanding,0.1955971769504643,0.5436497486832136,0.8248217292576044,8
llama32_3b_instruct,Machiavellianism,Deductive Reasoning,-2.4648045972552475,0.8524266402586652,0.8248217292576044,8
llama31_8b_instruct,Machiavellianism,intercept,0.017048010323383277,0.007646533648703731,0.8810800941214072,8
llama31_8b_instruct,Machiavellianism,Factual Knowledge,0.3137488682764379,0.1343299893388341,0.8810800941214072,8
llama31_8b_instruct,Machiavellianism,Language Understanding,-0.28625353768923506,0.08716927505970562,0.8810800941214072,8
llama31_8b_instruct,Machiavellianism,Deductive Reasoning,-0.5308522462946537,0.18816085749718517,0.8810800941214072,8
qwen3_8b,Machiavellianism,intercept,0.004873531918862015,0.004316420474878695,0.8655394029110304,8
qwen3_8b,Machiavellianism,Factual Knowledge,-0.4772630579032379,0.12520696874750678,0.8655394029110304,8
qwen3_8b,Machiavellianism,Language Understanding,0.22709784065955513,0.11517848638257197,0.8655394029110304,8
qwen3_8b,Machiavellianism,Deductive Reasoning,0.07516820326945861,0.1910821117532736,0.8655394029110304,8
llama32_1b_instruct,Narcissism,intercept,0.011488114392782616,0.002922140574335378,0.8792378505744801,8
llama32_1b_instruct,Narcissism,Factual Knowledge,0.24540659053161723,0.08185212494630269,0.8792378505744801,8
llama32_1b_instruct,Narcissism,Language Understanding,0.3959549789655596,0.35558053924330785,0.8792378505744801,8
llama32_1b_instruct,Narcissism,Deductive Reasoning,-0.9031730459006281,0.22751354869022766,0.8792378505744801,8
llama32_3b_instruct,Narcissism,intercept,-0.0006170697339252622,0.004196454669809748,0.8348791936804129,8
llama32_3b_instruct,Narcissism,Factual Knowledge,0.16952835741069336,0.08877624137924732,0.8348791936804129,8
llama32_3b_instruct,Narcissism,Language Understanding,0.20565787512530154,0.164911534588692,0.8348791936804129,8
llama32_3b_instruct,Narcissism,Deductive Reasoning,-0.9374447933379726,0.2585763825143472,0.8348791936804129,8
llama31_8b_instruct,Narcissism,intercept,-0.0032902032134832504,0.0021106689883030527,0.9016836767282501,8
llama31_8b_instruct,Narcissism,Factual Knowledge,-0.1246506960107572,0.0370790420499387,0.9016836767282501,8
llama31_8b_instruct,Narcissism,Language Understanding,0.007937623244553571,0.024061292875180024,0.9016836767282501,8
llama31_8b_instruct,Narcissism,Deductive Reasoning,-0.019414308906362976,0.05193795057701005,0.9016836767282501,8
qwen3_8b,Narcissism,intercept,0.004579433660089878,0.006660421329314228,0.8486299027591062,8
qwen3_8b,Narcissism,Factual Knowledge,-0.3863885170863295,0.19319970565381728,0.8486299027591062,8
qwen3_8b,Narcissism,Language Understanding,0.4325432175920936,0.1777253286247952,0.8486299027591062,8
qwen3_8b,Narcissism,Deductive Reasoning,-0.004188343974505904,0.2948478676206064,0.8486299027591062,8
llama32_1b_instruct,Psychopathy,intercept,0.01153387044103074,0.0034051314620345283,0.9012089537300283,8
llama32_1b_instruct,Psychopathy,Factual Knowledge,0.3302537280650554,0.09538119019220319,0.9012089537300283,8
llama32_1b_instruct,Psychopathy,Language Understanding,0.5280087955362014,0.4143532628439613,0.9012089537300283,8
llama32_1b_instruct,Psychopathy,Deductive Reasoning,-0.8342221501727796,0.2651185057585474,0.9012089537300283,8
llama32_3b_instruct,Psychopathy,intercept,0.00769587456714018,0.005766103078443938,0.7902998451861926,8
llama32_3b_instruct,Psychopathy,Factual Knowledge,0.11347171383684096,0.12198224429593742,0.7902998451861926,8
llama32_3b_instruct,Psychopathy,Language Understanding,0.49717331961848,0.22659530057687507,0.7902998451861926,8
llama32_3b_instruct,Psychopathy,Deductive Reasoning,-1.3153148430232813,0.3552946933885194,0.7902998451861926,8
llama31_8b_instruct,Psychopathy,intercept,0.001906146980456189,0.0017670318443348842,0.870849019516369,8
llama31_8b_instruct,Psychopathy,Factual Knowledge,0.011268361804575876,0.03104221856803369,0.870849019516369,8
llama31_8b_instruct,Psychopathy,Language Understanding,-0.0681835605271373,0.020143883745832772,0.870849019516369,8
llama31_8b_instruct,Psychopathy,Deductive Reasoning,-0.15836135382479585,0.04348195435081211,0.870849019516369,8
qwen3_8b,Psychopathy,intercept,0.0064675784373357074,0.0019359292157745606,0.9554094895911236,8
qwen3_8b,Psychopathy,Factual Knowledge,-0.3262969216087563,0.056155749938537364,0.9554094895911236,8
qwen3_8b,Psychopathy,Language Understanding,0.10796042705016995,0.051657941601016014,0.9554094895911236,8
qwen3_8b,Psychopathy,Deductive Reasoning,0.24154733166308615,0.08570097489528239,0.9554094895911236,8
