trait,term,standardized_beta,se,t_approx,r2,n,df
Openness,intercept,0.12470947305415095,0.3647894682840415,0.341866977796208,0.2079063239944985,32,25
Openness,Factual Knowledge,0.3527387569476662,0.2813610115812555,1.2536874066711168,0.2079063239944985,32,25
Openness,Language Understanding,0.0035134672725230577,0.26895215062921396,0.013063540352078597,0.2079063239944985,32,25
Openness,Deductive Reasoning,-0.3156996255607214,0.19957199400761627,-1.5818834056880413,0.2079063239944985,32,25
Openness,model_fe:llama32_3b_instruct,-0.22337295431604196,0.54347920038438,-0.4110055254332818,0.2079063239944985,32,25
Openness,model_fe:llama31_8b_instruct,0.016745294120257496,0.5393202831033255,0.03104888624604047,0.2079063239944985,32,25
Openness,model_fe:qwen3_8b,-0.29221023202081964,0.5213350729435472,-0.5605036898264883,0.2079063239944985,32,25
Conscientiousness,intercept,-0.0020024980111290054,0.30764393236184795,-0.006509141902313502,0.4366365453450879,32,25
Conscientiousness,Factual Knowledge,0.7427396104338178,0.23728483287452293,3.130160497137974,0.4366365453450879,32,25
Conscientiousness,Language Understanding,-0.4994724140621525,0.22681986304582996,-2.2020664652338313,0.4366365453450879,32,25
Conscientiousness,Deductive Reasoning,-0.3018332176969457,0.16830834868837732,-1.793334793247776,0.4366365453450879,32,25
Conscientiousness,model_fe:llama32_3b_instruct,-0.8726822833251983,0.4583412979262204,-1.904000986325423,0.4366365453450879,32,25
Conscientiousness,model_fe:llama31_8b_instruct,1.079068624788993,0.4548338894675008,2.372445523028898,0.4366365453450879,32,25
Conscientiousness,model_fe:qwen3_8b,-0.19837634941927854,0.4396661248828057,-0.45119771160936345,0.4366365453450879,32,25
Extraversion,intercept,0.2281549946900411,0.3449266362757091,0.6614594835397715,0.2918171106732941,32,25
Extraversion,Factual Knowledge,-0.4923343737286372,0.2660408694372904,-1.850596770225514,0.2918171106732941,32,25
Extraversion,Language Understanding,0.43933234498541596,0.25430767251048664,1.727562289601387,0.2918171106732941,32,25
Extraversion,Deductive Reasoning,-0.06695279406332219,0.1887052740631287,-0.3548008628573045,0.2918171106732941,32,25
Extraversion,model_fe:llama32_3b_instruct,-0.036728208850002164,0.5138866901947704,-0.07147141490681856,0.2918171106732941,32,25
Extraversion,model_fe:llama31_8b_instruct,-1.0878593500663218,0.5099542264779557,-2.1332490125235735,0.2918171106732941,32,25
Extraversion,model_fe:qwen3_8b,0.21196758015615957,0.4929483132527044,0.4299996053490841,0.2918171106732941,32,25
Agreeableness,intercept,-0.21256247291898414,0.2644898707185301,-0.8036696163128038,0.5836006415978954,32,25
Agreeableness,Factual Knowledge,1.0022219790343563,0.20400023588514501,4.912847157679863,0.5836006415978954,32,25
Agreeableness,Language Understanding,-0.31002703726851727,0.1950032161948338,-1.5898560204194765,0.5836006415978954,32,25
Agreeableness,Deductive Reasoning,0.052372442757373426,0.14469927309692254,0.361939916051225,0.5836006415978954,32,25
Agreeableness,model_fe:llama32_3b_instruct,-0.5602041652337475,0.3940485017948726,-1.4216629746897744,0.5836006415978954,32,25
Agreeableness,model_fe:llama31_8b_instruct,1.1765690706821115,0.39103308718005514,3.008873441291039,0.5836006415978954,32,25
Agreeableness,model_fe:qwen3_8b,0.23388498622757253,0.37799294670565586,0.6187548954708391,0.5836006415978954,32,25
Neuroticism,intercept,0.31018913018071187,0.3365229695869336,0.9217472749674552,0.32590456166248494,32,25
Neuroticism,Factual Knowledge,0.08937139990245486,0.2595591467832129,0.34431997874110365,0.32590456166248494,32,25
Neuroticism,Language Understanding,-0.1593014622677159,0.24811181318442369,-0.6420551291901032,0.32590456166248494,32,25
Neuroticism,Deductive Reasoning,-0.034098198780459395,0.1841077276319132,-0.1852078629129135,0.32590456166248494,32,25
Neuroticism,model_fe:llama32_3b_instruct,-0.30687016842171544,0.5013665424125535,-0.6120675044351181,0.32590456166248494,32,25
Neuroticism,model_fe:llama31_8b_instruct,0.29436109696019047,0.497529887806623,0.591645053240703,0.32590456166248494,32,25
Neuroticism,model_fe:qwen3_8b,-1.2282474492613222,0.4809383004450576,-2.553856592674588,0.32590456166248494,32,25
Machiavellianism,intercept,-0.32558211337986975,0.37039347552172364,-0.879016869617549,0.1833826195515087,32,25
Machiavellianism,Factual Knowledge,0.209758206578014,0.2856833653836278,0.7342331825877987,0.1833826195515087,32,25
Machiavellianism,Language Understanding,0.01288593397864629,0.2730838757193218,0.04718672585374676,0.1833826195515087,32,25
Machiavellianism,Deductive Reasoning,-0.33121237354643857,0.20263787993935184,-1.6345037445396102,0.1833826195515087,32,25
Machiavellianism,model_fe:llama32_3b_instruct,0.3776201094880766,0.5518282938678363,0.6843072631185475,0.1833826195515087,32,25
Machiavellianism,model_fe:llama31_8b_instruct,0.53930570279873,0.5476054860291579,0.9848434987556243,0.1833826195515087,32,25
Machiavellianism,model_fe:qwen3_8b,0.3854026412326723,0.5293439815772755,0.7280759858349497,0.1833826195515087,32,25
Narcissism,intercept,-0.06869846213534793,0.36555796598355467,-0.18792768460266152,0.20456541963886776,32,25
Narcissism,Factual Knowledge,-0.3983562080967244,0.2819537515283543,-1.412842375522229,0.20456541963886776,32,25
Narcissism,Language Understanding,0.3482120476052285,0.2695187489743085,1.291977084823963,0.20456541963886776,32,25
Narcissism,Deductive Reasoning,0.3426101952421504,0.19999242998950895,1.7131158177343153,0.20456541963886776,32,25
Narcissism,model_fe:llama32_3b_instruct,0.5368407808692749,0.5446241416492508,0.9857087481351707,0.20456541963886776,32,25
Narcissism,model_fe:llama31_8b_instruct,-0.35352613581404146,0.5404564628258798,-0.6541250963409015,0.20456541963886776,32,25
Narcissism,model_fe:qwen3_8b,0.0914792034861583,0.5224333634345454,0.1751021467786093,0.20456541963886776,32,25
Psychopathy,intercept,-0.40438752673959305,0.3842611945958204,-1.0523766969624455,0.12108875670613406,32,25
Psychopathy,Factual Knowledge,0.19784427118843928,0.2963794950865128,0.6675369736043608,0.12108875670613406,32,25
Psychopathy,Language Understanding,-0.025091551681638548,0.2833082741561647,-0.08856625086709477,0.12108875670613406,32,25
Psychopathy,Deductive Reasoning,0.10731921767631385,0.21022474466155364,0.510497552745705,0.12108875670613406,32,25
Psychopathy,model_fe:llama32_3b_instruct,0.6743666635482085,0.5724890243132581,1.1779556199477537,0.12108875670613406,32,25
Psychopathy,model_fe:llama31_8b_instruct,0.22729988717630215,0.5681081124131402,0.4000997032251581,0.12108875670613406,32,25
Psychopathy,model_fe:qwen3_8b,0.7158835562338611,0.549162887997637,1.303590559158363,0.12108875670613406,32,25
