model,alpha,trait,trait_score
llama32_1b_instruct,-0.2,Openness,0.387487
llama32_1b_instruct,-0.2,Conscientiousness,0.713208
llama32_1b_instruct,-0.2,Extraversion,0.384191
llama32_1b_instruct,-0.2,Agreeableness,0.651455
llama32_1b_instruct,-0.2,Neuroticism,0.352232
llama32_1b_instruct,-0.2,Machiavellianism,0.239463
llama32_1b_instruct,-0.2,Narcissism,0.230138
llama32_1b_instruct,-0.2,Psychopathy,0.165594
llama32_1b_instruct,-0.15,Openness,0.390614
llama32_1b_instruct,-0.15,Conscientiousness,0.714237
llama32_1b_instruct,-0.15,Extraversion,0.387623
llama32_1b_instruct,-0.15,Agreeableness,0.656604
llama32_1b_instruct,-0.15,Neuroticism,0.348127
llama32_1b_instruct,-0.15,Machiavellianism,0.240057
llama32_1b_instruct,-0.15,Narcissism,0.222918
llama32_1b_instruct,-0.15,Psychopathy,0.159152
llama32_1b_instruct,-0.1,Openness,0.396731
llama32_1b_instruct,-0.1,Conscientiousness,0.714602
llama32_1b_instruct,-0.1,Extraversion,0.389108
llama32_1b_instruct,-0.1,Agreeableness,0.658761
llama32_1b_instruct,-0.1,Neuroticism,0.344214
llama32_1b_instruct,-0.1,Machiavellianism,0.241202
llama32_1b_instruct,-0.1,Narcissism,0.217879
llama32_1b_instruct,-0.1,Psychopathy,0.153303
llama32_1b_instruct,-0.05,Openness,0.400111
llama32_1b_instruct,-0.05,Conscientiousness,0.718112
llama32_1b_instruct,-0.05,Extraversion,0.387807
llama32_1b_instruct,-0.05,Agreeableness,0.658288
llama32_1b_instruct,-0.05,Neuroticism,0.341871
llama32_1b_instruct,-0.05,Machiavellianism,0.241314
llama32_1b_instruct,-0.05,Narcissism,0.212392
llama32_1b_instruct,-0.05,Psychopathy,0.146803
llama32_1b_instruct,0,Openness,0.403194
llama32_1b_instruct,0,Conscientiousness,0.718556
llama32_1b_instruct,0,Extraversion,0.386923
llama32_1b_instruct,0,Agreeableness,0.659046
llama32_1b_instruct,0,Neuroticism,0.340800
llama32_1b_instruct,0,Machiavellianism,0.242100
llama32_1b_instruct,0,Narcissism,0.206472
llama32_1b_instruct,0,Psychopathy,0.141583
llama32_1b_instruct,0.05,Openness,0.406338
llama32_1b_instruct,0.05,Conscientiousness,0.715953
llama32_1b_instruct,0.05,Extraversion,0.388531
llama32_1b_instruct,0.05,Agreeableness,0.657934
llama32_1b_instruct,0.05,Neuroticism,0.341302
llama32_1b_instruct,0.05,Machiavellianism,0.242848
