trait_model,capability_model,alpha,trait,trait_score,delta_trait,Factual Knowledge,Language Understanding,Deductive Reasoning
llama32_1b_instruct,llama1b,-0.2,Openness,0.387487,-0.01570699999999997,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Conscientiousness,0.713208,-0.005348000000000019,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Extraversion,0.384191,-0.002732000000000012,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Agreeableness,0.651455,-0.007591000000000014,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Neuroticism,0.352232,0.011431999999999998,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Machiavellianism,0.239463,-0.0026370000000000005,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Narcissism,0.230138,0.02366600000000002,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.2,Psychopathy,0.165594,0.024011000000000005,0.009431258228755297,-0.0028903637253550486,-0.013006160395059337
llama32_1b_instruct,llama1b,-0.15,Openness,0.390614,-0.01257999999999998,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Conscientiousness,0.714237,-0.004318999999999962,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Extraversion,0.387623,0.0006999999999999784,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Agreeableness,0.656604,-0.0024420000000000552,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Neuroticism,0.348127,0.007327000000000028,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Machiavellianism,0.240057,-0.002043000000000017,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Narcissism,0.222918,0.016446000000000016,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.15,Psychopathy,0.159152,0.017569,0.0002729328086599407,-0.00014515262873299748,0.002635740536462564
llama32_1b_instruct,llama1b,-0.1,Openness,0.396731,-0.0064629999999999965,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.1,Conscientiousness,0.714602,-0.003954000000000013,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.1,Extraversion,0.389108,0.0021849999999999925,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.1,Agreeableness,0.658761,-0.0002849999999999797,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.1,Neuroticism,0.344214,0.003414000000000028,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
llama32_1b_instruct,llama1b,-0.1,Machiavellianism,0.241202,-0.0008980000000000099,0.0223544374944523,-0.011724604014366731,0.0015289645102246764
